author,url,doi,issn,year,pages,journal,title,ENTRYTYPE,ID,
Lucas {Prestes Fallavena} and Naira {Poerner Rodrigues} and Ligia {Damasceno Ferreira Marczak} and Giovana {Domeneghini Mercali},https://www.sciencedirect.com/science/article/pii/S0308814622013000,https://doi.org/10.1016/j.foodchem.2022.133338,0308-8146,2022,133338,Food Chemistry,Formation of advanced glycation end products by novel food processing technologies: A review,article,PRESTESFALLAVENA2022133338,
Santosh Khokhar and Fatemah Ashkanani and Sara D. Garduño-Diaz and Wafaa Husain,https://www.sciencedirect.com/science/article/pii/S0308814612015488,https://doi.org/10.1016/j.foodchem.2012.10.034,0308-8146,2013,436-442,Food Chemistry,Application of ethnic food composition data for understanding the diet and nutrition of South Asians in the UK,article,KHOKHAR2013436,
Lukai Ma and Yun Cui and Feng Wang and Huifan Liu and Weiwei Cheng and Lianxin Peng and Charles Brennan and Soottawat Benjakul and Gengsheng Xiao,https://www.sciencedirect.com/science/article/pii/S0308814622019902,https://doi.org/10.1016/j.foodchem.2022.134028,0308-8146,2023,134028,Food Chemistry,"Fast and sensitive UHPLC-QqQ-MS/MS method for simultaneous determination of typical α,β-unsaturated aldehydes and malondialdehyde in various vegetable oils and oil-based foods",article,MA2023134028,
Israa Al-Zughbi and Maha Krayem,https://www.sciencedirect.com/science/article/pii/S0308814622013243,https://doi.org/10.1016/j.foodchem.2022.133362,0308-8146,2022,133362,Food Chemistry,"Quince fruit Cydonia oblonga Mill nutritional composition, antioxidative properties, health benefits and consumers preferences towards some industrial quince products: A review",article,ALZUGHBI2022133362,
Susanne Westenbrink and Marine Oseredczuk and Isabel Castanheira and Mark Roe,https://www.sciencedirect.com/science/article/pii/S0308814608006924,https://doi.org/10.1016/j.foodchem.2008.05.112,0308-8146,2009,759-767,Food Chemistry,Food composition databases: The EuroFIR approach to develop tools to assure the quality of the data compilation process,article,WESTENBRINK2009759,
M.A. {Martínez Burgos} and I. Martínez-Victoria and R. Milá and A. Farrán and R. Farré and G. Ros and M.D. Yago and N. Audi and C. Santana and M.B. {López Millán} and S. {Ramos López} and M. Mañas and E. Martínez-Victoria,https://www.sciencedirect.com/science/article/pii/S0308814608012387,https://doi.org/10.1016/j.foodchem.2008.10.024,0308-8146,2009,784-788,Food Chemistry,Building a unified Spanish food database according to EuroFIR specifications,article,MARTINEZBURGOS2009784,
Franz Ulberth,https://www.sciencedirect.com/science/article/pii/S0308814620309067,https://doi.org/10.1016/j.foodchem.2020.127044,0308-8146,2020,127044,Food Chemistry,Tools to combat food fraud – A gap analysis,article,ULBERTH2020127044,
Tomoko Watanabe and Ryoko Kawai,https://www.sciencedirect.com/science/article/pii/S030881461730852X,https://doi.org/10.1016/j.foodchem.2017.05.062,0308-8146,2018,16-21,Food Chemistry,Advances in food composition tables in Japan-Standard Tables Of Food Composition in Japan – 2015 – (Seventh Revised Edition)–,article,WATANABE201816,
S. Khokhar and P.A. Gilbert and C.W.A. Moyle and E. Carnovale and D.R. Shahar and J. Ngo and E. Saxholt and J. Ireland and M. {Jansen-van der Vliet} and M. Bellemans,https://www.sciencedirect.com/science/article/pii/S0308814608007590,https://doi.org/10.1016/j.foodchem.2008.06.046,0308-8146,2009,816-824,Food Chemistry,Harmonised procedures for producing new data on the nutritional composition of ethnic foods,article,KHOKHAR2009816,
Lucía {Ruiz Haddad} and Viridiana Tejada-Ortigoza and Sandra Teresita Martín-del-Campo and Iván Balderas-León and Mariana {Morales-de la Peña} and Luis Eduardo Garcia-Amezquita and Jorge Welti-Chanes,https://www.sciencedirect.com/science/article/pii/S030881462102238X,https://doi.org/10.1016/j.foodchem.2021.131232,0308-8146,2022,131232,Food Chemistry,"Evaluation of nutritional composition and technological functionality of whole American Bullfrog (Lithobates catesbeianus), its skin, and its legs as potential food ingredients",article,RUIZHADDAD2022131232,
Michaela Lerch and Khanh Hoang Nguyen and Kit Granby,https://www.sciencedirect.com/science/article/pii/S0308814622013371,https://doi.org/10.1016/j.foodchem.2022.133375,0308-8146,2022,133375,Food Chemistry,Is the use of paper food contact materials treated with per- and polyfluorinated alkyl substances safe for high-temperature applications? – Migration study in real food and food simulants,article,LERCH2022133375,
Yanping Qin and Ru Li and Qingliang Liao and Gongpengyang Shi and Yinyin Zhou and Weitao Wan and Jun Li and Haitao Ma and Yuehuan Zhang and Ziniu Yu,https://www.sciencedirect.com/science/article/pii/S0308814622018301,https://doi.org/10.1016/j.foodchem.2022.133868,0308-8146,2023,133868,Food Chemistry,"Comparison of biochemical composition, nutritional quality, and metals concentrations between males and females of three different Crassostrea sp.",article,QIN2023133868,
 {The Food Monitoring Group},https://www.sciencedirect.com/science/article/pii/S0308814612016123,https://doi.org/10.1016/j.foodchem.2012.10.065,0308-8146,2013,451-457,Food Chemistry,Progress with a global branded food composition database,article,THEFOODMONITORINGGROUP2013451,
Léon Jansen and Annet J.C. Roodenburg,https://www.sciencedirect.com/science/article/pii/S0308814615009747,https://doi.org/10.1016/j.foodchem.2015.06.082,0308-8146,2016,196-202,Food Chemistry,The use of food composition data in the Choices International Programme,article,JANSEN2016196,
Fan Zhu,https://www.sciencedirect.com/science/article/pii/S030881461731083X,https://doi.org/10.1016/j.foodchem.2017.06.101,0308-8146,2018,402-415,Food Chemistry,Chemical composition and food uses of teff (Eragrostis tef),article,ZHU2018402,
Jéssica {Bevenuto Mattar} and Aline {Carare Candido} and Darlene {Larissa de Souza Vilela} and Vanessa {Ladeira de Paula} and Luiza {Carla Vidigal Castro},https://www.sciencedirect.com/science/article/pii/S0308814621023244,https://doi.org/10.1016/j.foodchem.2021.131318,0308-8146,2022,131318,Food Chemistry,Information displayed on Brazilian food bar labels points to the need to reformulate the current food labelling legislation,article,BEVENUTOMATTAR2022131318,
Hettie C. Schönfeldt and Nicolette Hall and B. Pretorius,https://www.sciencedirect.com/science/article/pii/S0308814616320891,https://doi.org/10.1016/j.foodchem.2016.12.067,0308-8146,2018,94-100,Food Chemistry,The important role of food composition in policies and programmes for better public health: A South African case study,article,SCHONFELDT201894,
Milan Kováč and Kristína Holčíková,https://www.sciencedirect.com/science/article/pii/0308814696001380,https://doi.org/10.1016/0308-8146(96)00138-0,0308-8146,1996,165-169,Food Chemistry,Food composition data in Eastern Europe,article,KOVAC1996165,
Marie Machackova and Marie Holasova and Eva Maskova,https://www.sciencedirect.com/science/article/pii/S0308814613001301,https://doi.org/10.1016/j.foodchem.2013.01.095,0308-8146,2013,533-538,Food Chemistry,The new on-line Czech Food Composition Database,article,MACHACKOVA2013533,
Isabel Viera and Marta Herrera and María Roca,https://www.sciencedirect.com/science/article/pii/S0308814622007671,https://doi.org/10.1016/j.foodchem.2022.132805,0308-8146,2022,132805,Food Chemistry,Influence of food composition on chlorophyll bioaccessibility,article,VIERA2022132805,
Ningxiang Yu and Qin Ye and Xiaohua Nie and Chaosheng Xia and Xianghe Meng,https://www.sciencedirect.com/science/article/pii/S0308814621010451,https://doi.org/10.1016/j.foodchem.2021.130039,0308-8146,2021,130039,Food Chemistry,"Distribution of 2-tert-butyl-1,4-benzoquinone and its precursor, tert-butylhydroquinone, in typical edible oils and oleaginous foods marketed in Hangzhou City, China",article,YU2021130039,
Mohamed A. Farag and Aya {Bahaa Eldin} and Ibrahim Khalifa,https://www.sciencedirect.com/science/article/pii/S0308814622009177,https://doi.org/10.1016/j.foodchem.2022.132955,0308-8146,2022,132955,Food Chemistry,Valorization and extraction optimization of Prunus seeds for food and functional food applications: A review with further perspectives,article,FARAG2022132955,
Alexandra Katidi and Antonis Vlassopoulos and Maria Kapsokefalou,https://www.sciencedirect.com/science/article/pii/S030881462100011X,https://doi.org/10.1016/j.foodchem.2021.129010,0308-8146,2021,129010,Food Chemistry,"Development of the Hellenic Food Thesaurus (HelTH), a branded food composition database: Aims, design and preliminary findings",article,KATIDI2021129010,
Elizabete Wenzel de Menezes and Fernanda Grande and Eliana Bistriche Giuntini and Tássia do Vale Cardoso Lopes and Milana Cara Tanasov Dan and Samira Bernardino Ramos do Prado and Bernadette Dora Gombossy de Melo Franco and U. Ruth Charrondière and Franco Maria Lajolo,https://www.sciencedirect.com/science/article/pii/S0308814615000539,https://doi.org/10.1016/j.foodchem.2015.01.051,0308-8146,2016,128-133,Food Chemistry,Impact of dietary fiber energy on the calculation of food total energy value in the Brazilian Food Composition Database,article,MENEZES2016128,
Antonio Pérez-gálvez and Isabel Viera and Itziar Benito and María Roca,https://www.sciencedirect.com/science/article/pii/S0308814620305835,https://doi.org/10.1016/j.foodchem.2020.126721,0308-8146,2020,126721,Food Chemistry,HPLC-hrTOF-MS study of copper chlorophylls: Composition of food colorants and biochemistry after ingestion,article,PEREZGALVEZ2020126721,
Yunbing Tan and David Julian McClements,https://www.sciencedirect.com/science/article/pii/S0308814621001503,https://doi.org/10.1016/j.foodchem.2021.129148,0308-8146,2021,129148,Food Chemistry,Improving the bioavailability of oil-soluble vitamins by optimizing food matrix effects: A review,article,TAN2021129148,
Petro Wolmarans and Joelaine Chetty and Natasha Danster-Christians,https://www.sciencedirect.com/science/article/pii/S0308814612016111,https://doi.org/10.1016/j.foodchem.2012.10.064,0308-8146,2013,447-450,Food Chemistry,Food composition activities in South Africa,article,WOLMARANS2013447,
Ignazio Allegretta and Giacomo Squeo and Concetta E. Gattullo and Carlo Porfido and Antonio Cicchetti and Francesco Caponio and Stefano Cesco and Carlo Nicoletto and Roberto Terzano,https://www.sciencedirect.com/science/article/pii/S0308814622020866,https://doi.org/10.1016/j.foodchem.2022.134124,0308-8146,2022,134124,Food Chemistry,TXRF spectral information enhanced by multivariate analysis: a new strategy for food fingerprint,article,ALLEGRETTA2022134124,
Susanne Westenbrink and Mark Roe and Marine Oseredczuk and Isabel Castanheira and Paul Finglas,https://www.sciencedirect.com/science/article/pii/S0308814615003015,https://doi.org/10.1016/j.foodchem.2015.02.110,0308-8146,2016,69-74,Food Chemistry,EuroFIR quality approach for managing food composition data, where are we in 2014?,article,WESTENBRINK201669
Su Zhang and Litao Wang and Yujie Fu and Jian-Chun Jiang,https://www.sciencedirect.com/science/article/pii/S0308814622013425,https://doi.org/10.1016/j.foodchem.2022.133380,0308-8146,2022,133380,Food Chemistry,"Bioactive constituents, nutritional benefits and woody food applications of Castanea mollissima: A comprehensive review",article,ZHANG2022133380,
Peihua Ma and Zhikun Zhang and Ying Li and Ning Yu and Jiping Sheng and Hande {Küçük McGinty} and Qin Wang and Jaspreet K.C. Ahuja,https://www.sciencedirect.com/science/article/pii/S0308814622012055,https://doi.org/10.1016/j.foodchem.2022.133243,0308-8146,2022,133243,Food Chemistry,Deep learning accurately predicts food categories and nutrients based on ingredient statements,article,MA2022133243,
G. Ros and E. {Martínez de Victoria} and A. Farran,https://www.sciencedirect.com/science/article/pii/S0308814608008728,https://doi.org/10.1016/j.foodchem.2008.07.087,0308-8146,2009,789-794,Food Chemistry,Spanish food composition database: A challenge for a consensus,article,ROS2009789,
Mohammad Khairul Alam and Ziaul Hasan Rana and Sheikh Nazrul Islam and Mohammad Akhtaruzzaman,https://www.sciencedirect.com/science/article/pii/S0308814620305082,https://doi.org/10.1016/j.foodchem.2020.126646,0308-8146,2020,126646,Food Chemistry,"Comparative assessment of nutritional composition, polyphenol profile, antidiabetic and antioxidative properties of selected edible wild plant species of Bangladesh",article,ALAM2020126646,
Henrietta N. Ene-Obong and Rasaki A. Sanusi and Elizabeth A. Udenta and Ima O. Williams and Kola M. Anigo and Elizabeth C. Chibuzo and Hassan M. Aliyu and Onot O. Ekpe and Gloria I. Davidson,https://www.sciencedirect.com/science/article/pii/S0308814613001374,https://doi.org/10.1016/j.foodchem.2013.01.102,0308-8146,2013,539-546,Food Chemistry,Data collection and assessment of commonly consumed foods and recipes in six geo-political zones in Nigeria: Important for the development of a National Food Composition Database and Dietary Assessment,article,ENEOBONG2013539,
Fan Zhu,https://www.sciencedirect.com/science/article/pii/S0308814617314711,https://doi.org/10.1016/j.foodchem.2017.09.009,0308-8146,2018,468-479,Food Chemistry,Triticale: Nutritional composition and food uses,article,ZHU2018468,
Christian Bernard {Bakwo Bassogog} and Carine Emilienne Nyobe and Simon Pierre Ngui and Samuel René Minka and Martin Alain {Mune Mune},https://www.sciencedirect.com/science/article/pii/S0308814622005088,https://doi.org/10.1016/j.foodchem.2022.132546,0308-8146,2022,132546,Food Chemistry,"Effect of heat treatment on the structure, functional properties and composition of Moringa oleifera seed proteins",article,BAKWOBASSOGOG2022132546,
Yoana Kiselova-Kaneva and Bistra Galunska and Miglena Nikolova and Ivayla Dincheva and Ilian Badjakov,https://www.sciencedirect.com/science/article/pii/S0308814621017659,https://doi.org/10.1016/j.foodchem.2021.130759,0308-8146,2022,130759,Food Chemistry,High resolution LC-MS/MS characterization of polyphenolic composition and evaluation of antioxidant activity of Sambucus ebulus fruit tea traditionally used in Bulgaria as a functional food,article,KISELOVAKANEVA2022130759,
Barbara Stadlmayr and U.Ruth Charrondière and Barbara Burlingame,https://www.sciencedirect.com/science/article/pii/S0308814612015609,https://doi.org/10.1016/j.foodchem.2012.09.107,0308-8146,2013,443-446,Food Chemistry,Development of a regional food composition table for West Africa1The views expressed in this information product are those of the author(s) and do not necessarily reflect the views of FAO.1,article,STADLMAYR2013443,
Karina Véliz and Pedro Toledo and Michael Araya and María Fernanda Gómez and Vieia Villalobos and Fadia Tala,https://www.sciencedirect.com/science/article/pii/S0308814622018283,https://doi.org/10.1016/j.foodchem.2022.133866,0308-8146,2023,133866,Food Chemistry,Chemical composition and heavy metal content of Chilean seaweeds: Potential applications of seaweed meal as food and feed ingredients,article,VELIZ2023133866,
Oluwafunke O. Akinbule and Oluseye O. Onabanjo and Silifat A. Sanni and Mojisola O. Adegunwa and Abiodun S. Akinbule,https://www.sciencedirect.com/science/article/pii/S030881462102392X,https://doi.org/10.1016/j.foodchem.2021.131386,0308-8146,2022,131386,Food Chemistry,"Micronutrient composition, antioxidant properties, and mineral safety index of selected Nigerian cooked foods",article,AKINBULE2022131386,
Eleanor Dunlop and Anthony P. James and Judy Cunningham and Norbert Strobel and Robyn M. Lucas and Mairead Kiely and Caryl A. Nowson and Anna Rangan and Paul Adorno and Paul Atyeo and Lucinda J. Black,https://www.sciencedirect.com/science/article/pii/S0308814621008426,https://doi.org/10.1016/j.foodchem.2021.129836,0308-8146,2021,129836,Food Chemistry,Vitamin D composition of Australian foods,article,DUNLOP2021129836,
U. Ruth Charrondiere and Doris Rittenschober and Verena Nowak and Chiara Nicodemi and Peter Bruggeling and Cristina Petracchi,https://www.sciencedirect.com/science/article/pii/S0308814614017774,https://doi.org/10.1016/j.foodchem.2014.11.048,0308-8146,2016,6-11,Food Chemistry,FAO/INFOODS e-Learning Course on Food Composition Data,article,CHARRONDIERE20166,
N.C. Sammán and M.A. Gimenez and N. Bassett and M.O. Lobo and M.E. Marcoleri,https://www.sciencedirect.com/science/article/pii/S0308814615004550,https://doi.org/10.1016/j.foodchem.2015.03.083,0308-8146,2016,141-147,Food Chemistry,Validation of a sampling plan to generate food composition data,article,SAMMAN2016141,
Deborah Murowaniecki Otero and Gabriela {da Rocha Lemos Mendes} and Andressa Jantzen {da Silva Lucas} and Anelise Christ-Ribeiro and Camila Duarte Ferreira Ribeiro,https://www.sciencedirect.com/science/article/pii/S0308814622014480,https://doi.org/10.1016/j.foodchem.2022.133486,0308-8146,2022,133486,Food Chemistry,Exploring alternative protein sources: Evidence from patents and articles focusing on food markets,article,OTERO2022133486,
Andries J. Speek and Supinun Speek-Saichua and Wil H.P. Schreurs,https://www.sciencedirect.com/science/article/pii/030881469190110A,https://doi.org/10.1016/0308-8146(91)90110-A,0308-8146,1991,251-262,Food Chemistry,Determination of macronutrient and micronutrient levels in thai foods: An evaluation of the Thai Food Composition Table,article,SPEEK1991251,
Bimal Prasanna Mohanty and Arabinda Mahanty and Satabdi Ganguly and Tandrima Mitra and D. Karunakaran and R. Anandan,https://www.sciencedirect.com/science/article/pii/S0308814617318526,https://doi.org/10.1016/j.foodchem.2017.11.039,0308-8146,2019,561-570,Food Chemistry,Nutritional composition of food fishes and their importance in providing food and nutritional security,article,MOHANTY2019561,
Jelena Milešević and Lourdes Samaniego and Mairead Kiely and Maria Glibetić and Mark Roe and Paul Finglas,https://www.sciencedirect.com/science/article/pii/S030881461731289X,https://doi.org/10.1016/j.foodchem.2017.07.135,0308-8146,2018,544-549,Food Chemistry,Specialized food composition dataset for vitamin D content in foods based on European standards: Application to dietary intake assessment,article,MILESEVIC2018544,
Kim Maasen and Jean L.J.M. Scheijen and Antoon Opperhuizen and Coen D.A. Stehouwer and Marleen M. {Van Greevenbroek} and Casper G. Schalkwijk,https://www.sciencedirect.com/science/article/pii/S0308814620319257,https://doi.org/10.1016/j.foodchem.2020.128063,0308-8146,2021,128063,Food Chemistry,Quantification of dicarbonyl compounds in commonly consumed foods and drinks, presentation of a food composition database for dicarbonyls,article,MAASEN2021128063
Nazma Shaheen and Avonti {Basak Tukun} and Abu {Torab MA Rahim} and Md. Mohiduzzaman and Saiful Islam and Barbara Stadlmayr and Lalita Bhattacharjee and Thingnganing Longvah,https://www.sciencedirect.com/science/article/pii/S0308814622015060,https://doi.org/10.1016/j.foodchem.2022.133544,0308-8146,2022,133544,Food Chemistry,Development of a new food composition table: An updated tool for estimating nutrient intake in Bangladeshi population,article,SHAHEEN2022133544,
Karl Presser and Hans Hinterberger and David Weber and Moira Norrie,https://www.sciencedirect.com/science/article/pii/S0308814615004562,https://doi.org/10.1016/j.foodchem.2015.03.084,0308-8146,2016,166-172,Food Chemistry,A scope classification of data quality requirements for food composition data,article,PRESSER2016166,
Rosemary M. Swears and Merilyn Manley-Harris,https://www.sciencedirect.com/science/article/pii/S0308814620325243,https://doi.org/10.1016/j.foodchem.2020.128662,0308-8146,2021,128662,Food Chemistry,Composition and potential as a prebiotic functional food of a Giant Willow Aphid (Tuberolachnus salignus) honeydew honey produced in New Zealand,article,SWEARS2021128662,
Mirjana B. Pešić and Danijel D. Milinčić and Aleksandar Ž. Kostić and Nemanja S. Stanisavljević and Goran N. Vukotić and Milan O. Kojić and Uroš M. Gašić and Miroljub B. Barać and Slađana P. Stanojević and Dušanka A. Popović and Nebojša R. Banjac and Živoslav Lj. Tešić,https://www.sciencedirect.com/science/article/pii/S030881461930175X,https://doi.org/10.1016/j.foodchem.2019.01.107,0308-8146,2019,28-44,Food Chemistry,"In vitro digestion of meat- and cereal-based food matrix enriched with grape extracts: How are polyphenol composition, bioaccessibility and antioxidant activity affected?",article,PESIC201928,
Dilara Şen and Vural Gökmen,https://www.sciencedirect.com/science/article/pii/S030881462201545X,https://doi.org/10.1016/j.foodchem.2022.133583,0308-8146,2022,133583,Food Chemistry,Kinetic modeling of Maillard and caramelization reactions in sucrose-rich and low moisture foods applied for roasted nuts and seeds,article,SEN2022133583,
Marko Tarvainen and Mikael Fabritius and Baoru Yang,https://www.sciencedirect.com/science/article/pii/S0308814618317072,https://doi.org/10.1016/j.foodchem.2018.09.136,0308-8146,2019,515-522,Food Chemistry,Determination of vitamin K composition of fermented food,article,TARVAINEN2019515,
Matthias Schmid and Freddy Guihéneuf and Dagmar B. Stengel,https://www.sciencedirect.com/science/article/pii/S0308814616305088,https://doi.org/10.1016/j.foodchem.2016.03.123,0308-8146,2016,161-168,Food Chemistry,Evaluation of food grade solvents for lipid extraction and impact of storage temperature on fatty acid composition of edible seaweeds Laminaria digitata (Phaeophyceae) and Palmaria palmata (Rhodophyta),article,SCHMID2016161,
Junqiao Wang and Jing Zhao and Shaoping Nie and Mingyong Xie and Shaoping Li,https://www.sciencedirect.com/science/article/pii/S0308814622019306,https://doi.org/10.1016/j.foodchem.2022.133968,0308-8146,2023,133968,Food Chemistry,MALDI mass spectrometry in food carbohydrates analysis: A review of recent researches,article,WANG2023133968,
Helen H. Grundy and Lucy C. Brown and Maria Rosario Romero and James A. Donarski,https://www.sciencedirect.com/science/article/pii/S0308814622017800,https://doi.org/10.1016/j.foodchem.2022.133818,0308-8146,2023,133818,Food Chemistry,Review: Methods to determine offal adulteration in meat products to support enforcement and food security,article,GRUNDY2023133818,
Alexandra Coimbra and Susana Ferreira and Ana Paula Duarte,https://www.sciencedirect.com/science/article/pii/S0308814622013322,https://doi.org/10.1016/j.foodchem.2022.133370,0308-8146,2022,133370,Food Chemistry,Biological properties of Thymus zygis essential oil with emphasis on antimicrobial activity and food application,article,COIMBRA2022133370,
