,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,-GT (U/L),"Female,<30",39.2,,39.2,35.8,30.0,30.0,0.499,38.8,34.3,35.4,,32.3,0.485,34.5,26.8,34.9,32.3,0.939,33.0,24.9,32.9,,31.8,0.980
19,ALP(U/L),100325,209.1,,60.1,213.2,56.3,56.3,0.623,73.6,20.5,73.6,,19.2,0.986,72.7,19.6,73.3,17.2,0.830,72.5,20.3,73.2,,18.5,0.808
20,LD(U/L),120240,192.1,,27.9,191.5,191.5,28.4,0.889,195.3,26.7,202.3,,72.2,0.372,196.6,29.7,196.9,27.5,0.943,203.3,26.0,200.5,200.5,29.2,0.493
21,LAP(U/L,"Female, 3761",54.6,,12.5,54.9,15.8,15.8,0.886,54.3,11.7,54.2,,13.2,0.943,54.0,10.1,54.2,11.3,0.905,53.2,10.8,52.8,,11.7,0.792
22,T-BIL (mg/dL),0.21.2,0.8,,0.3,0.8,,0.3,0.853,0.8,0.2,0.8,,0.3,0.766,0.8,0.3,0.8,0.3,0.651,0.8,0.3,0.8,,0.3,0.682
23,D-BIL (mg/dL),00.2,0.1,,0.0,0.1,,0.0,0.427,0.1,0.1,0.1,,0.1,0.212,0.1,0.0,0.1,0.1,0.058,0.1,0.1,0.1,,0.1,0.681
24,1-BIL(mg/dL,0.21.0,0.7.,,0.2,0.7,,0.3,0.958,0.7,0.2,0.7,,0.3,0.948,0.7,0.3,0.7,0.3,0.88,0.7,0.3,.0.7,,0.3,0.587
25,ChE(U/L),"Female, 200452",371.3,371.3,68.3,371.5,371.5,64.7,0.984,366.8,66.6,362.3,,64.5,0.637,362.5,68.8,356.2,63.2,0.511,358.7,71.2,352.6,352.6,62.4,0.530
26,TP (g/dL),6.78.3,7.2,,0.4,7.2,,0.3,0.267,7.2,0.3,7.2,,0.4,0.783,7.2,0.4,7.2,0.4,0.721,7.2,0.4,7.3,,0.4,0.276
27,BUN (mg/dL),8.020.0,13.8,,3.4,12.8,,3.5,0.065,13.6,3.1,13.2,,3.3,0.417,13.4,3.5,12.9,2.9,0.303,13.1,3.1,12.3,,2.7,0.038*
28,Cre (mg/dL),"Male, 0.611.04",0.8,,0.2,0.7,,0.1,0.918,0.8,0.2,0.8,,0.1,0.698,0.8,0.2,0.8,0.1,0.769,0.8,0.2,0.8,,0.1,0.753
29,Cre (mg/dL),"Female,0.470.79",0.8,,0.2,0.7,,0.1,0.918,0.8,0.2,0.8,,0.1,0.698,0.8,0.2,0.8,0.1,0.769,0.8,0.2,0.8,,0.1,0.753
30,UA (mg/dL),"Female, 2.57.0",5.4,,1.4,5.5,,1.4,0.584,5.3,1.2,5.5,,1.4,0.285,5.4,1.2,5.6,1.4,0.303,5.4,1.3,5.5,,1.4,0.647
31,CK(U/L,"Female, 40150",118.9,,83.7,121.6,102.9,102.9,0.838,122.3,70.8,114.7,,74.4,0.470,127.0,100.2,137.4,264.4,0.721,131.6,85.5,117.9,,82.0,0.261
32,Na (mEq/L),137147,140.7,,1.5,140.8,140.8,1.6,0.771,141.1,1.9,141.1,,1.8,0.995,141.1,1.8,141.0,1.5,0.755,141.2,1.6,141.0,,1.5,0.277
33,K(mEq/L),3.55.0,4.2,,0.4,4.1,,0.3,0.132,4.1,0.3,4.1,,0.4,0.879,4.0,0.3,3.9,0.3,0.207,4.0,0.3,4.0,,0.3,0.229
34,Cl(mEq/L),98108,101.7,101.7,1.9,101.6,101.6,1.9,0.706,101.4,1.9,101.5,,2.0,0.939,101.5,2.1,101.6,1.8,0.558,101.9,1.9,101.6,101.6,1.7,0.234
35,Ca(mg/dL),8.410.4,9.4,,0.3,9.4,,0.3,0.290,9.4,0.3,9.4,,0.3,0.937,9.3,0.3,9.3,0.3,0.718,9.2,0.3,9.3,,0.3,0.680
36,IP (mg/dL),2.54.5,3.3,,0.5,3.2,,0.5,0.565,3.5,0.7,3.4,,0.6,0.498,3.7,0.7,3.6,0.6,0.596,3.4,0.6,3.3,,0.5,0.607
37,Fe (g/dL),"Female, 40180",104.6,,38.2,108.8,108.8,42.3,0.468,101.6,33.6,105.6,,37.3,0.435,108.3,37.6,109.5,38.2,0.834,109.6,36.0,107.0,,37.0,0.628
38,AMY(U/L),40122,78.5,,24.7,74.8,22.2,22.2,0.279,76.8,25.8,74.3,,23.0,0.481,73.5,21.3,74.2,23.2,0.828,72.9,19.4,72.1,,20.0,0.771
39,Glucose (mg/dL),70109,88.5,,12.7,87.7,,9.9,0.636,87.7,9.6,87.4,,10.7,0.859,87.9,9.5,88.1,11.3,0.879,89.0,13.5,88.2,,8.7,0.637
40,HbA 1c (NGSP) (%),4.66.2,5.4,,0.4,5.5,,0.4,0.363,5.4,0.4,5.5,,0.4,0.800,5.4,0.4,5.5,0.4,0.436,5.4,0.4,5.4,,0.3,0.985
41,GA (%,12.316.5,12.8,,1.5,12.7,,1.2,0.560,12.7,1.5,12.7,,1.3,0.816,13.0,1.5,12.9,1.1,0.663,12.9,1.5,12.9,,1.1,0.707
