author,url,doi,issn,year,pages,journal,title,ENTRYTYPE,
Mei-Ling Wang and Jih-Terng Wang and Youk-Meng Choong,https://www.sciencedirect.com/science/article/pii/S0889157503001261,https://doi.org/10.1016/j.jfca.2003.08.006,0889-1575,2004,187-196,Journal of Food Composition and Analysis,A rapid and accurate method for determination of methanol in alcoholic beverage by direct injection capillary gas chromatography,article,
A.Paula Cardoso and Estevao Mirione and Mario Ernesto and Fernando Massaza and Julie Cliff and M. {Rezaul Haque} and J.Howard Bradbury,https://www.sciencedirect.com/science/article/pii/S0889157504000705,https://doi.org/10.1016/j.jfca.2004.04.002,0889-1575,2005,451-460,Journal of Food Composition and Analysis,Processing of cassava roots to remove cyanogens,article,
Michael Rychlik and Katja Englert and Susanne Kapfer and Eva Kirchhoff,https://www.sciencedirect.com/science/article/pii/S088915750600192X,https://doi.org/10.1016/j.jfca.2006.10.006,0889-1575,2007,411-419,Journal of Food Composition and Analysis,Folate contents of legumes determined by optimized enzyme treatment and stable isotope dilution assays,article,
Margit Schollenberger and Winfried Drochner and Melanie Rüfle and Sybille Suchy and Helga Terry-Jara and Hans-Martin Müller,https://www.sciencedirect.com/science/article/pii/S0889157503001649,https://doi.org/10.1016/j.jfca.2003.10.009,0889-1575,2005,69-78,Journal of Food Composition and Analysis,Trichothecene toxins in different groups of conventional and organic bread of the German market,article,
Mario Vincenzo Russo and Antonella {De Leonardis} and Vincenzo Macciola,https://www.sciencedirect.com/science/article/pii/S0889157504001231,https://doi.org/10.1016/j.jfca.2004.06.014,0889-1575,2005,617-624,Journal of Food Composition and Analysis,Solid phase extraction—gas-chromatographic method to determine free cholesterol in animal fats,article,
Ilknur Alibas and Aslihan Yilmaz and B. Baris Asik and Hilal Erdoğan,https://www.sciencedirect.com/science/article/pii/S0889157520314630,https://doi.org/10.1016/j.jfca.2020.103758,0889-1575,2021,103758,Journal of Food Composition and Analysis,"Influence of drying methods on the nutrients, protein content and vitamin profile of basil leaves",article,
Austin R. Long and Lily C. Hsieh and Marsha S. Malbrough and Charles R. Short and Steven A. Barker,https://www.sciencedirect.com/science/article/pii/0889157590900057,https://doi.org/10.1016/0889-1575(90)90005-7,0889-1575,1990,20-26,Journal of Food Composition and Analysis,Matrix solid phase dispersion (MSPD) extraction and liquid chromatographic determination of five benzimidazole anthelmintics in pork muscle tissue,article,
Deivisson Ferreira {da Silva} and Patriciani Estela Cipriano and Ray Rodrigues {de Souza} and Matias Siueia and Valdemar Faquin and Maria Ligia {de Souza Silva} and Luiz Roberto Guimarães Guilherme,https://www.sciencedirect.com/science/article/pii/S0889157518312614,https://doi.org/10.1016/j.jfca.2019.103382,0889-1575,2020,103382,Journal of Food Composition and Analysis,Biofortification with selenium and implications in the absorption of macronutrients in Raphanus sativus L.,article,
M.Ma. {Martín Delgado} and A. {Hardisson de la Torre} and R. {Alvarez Marante},https://www.sciencedirect.com/science/article/pii/088915759290034H,https://doi.org/10.1016/0889-1575(92)90034-H,0889-1575,1992,172-180,Journal of Food Composition and Analysis,"Concentration of fluoride in beers and soft drinks consumed in the Autonomous Community of the Canary Islands, Spain",article,
Cai-Lin Kong and Dan-Ye Zhu and Yu Zhao and Tian-Yi Zhao and Yong-Sheng Tao,https://www.sciencedirect.com/science/article/pii/S0889157521004002,https://doi.org/10.1016/j.jfca.2021.104200,0889-1575,2022,104200,Journal of Food Composition and Analysis,"Spent yeast polysaccharides in mixed alcoholic fermentation between Pichia kluyveri, Pichia fermentans and Saccharomyces cerevisiae retarded wine fruity ester hydrolysis",article,
Carla Isabel Rodrigues and Liliana Marta and Rodrigo Maia and Marco Miranda and Miguel Ribeirinho and Cristina Máguas,https://www.sciencedirect.com/science/article/pii/S0889157506001906,https://doi.org/10.1016/j.jfca.2006.08.005,0889-1575,2007,440-448,Journal of Food Composition and Analysis,Application of solid-phase extraction to brewed coffee caffeine and organic acid determination by UV/HPLC,article,
L.Ancona Mendez and C.A. {Sandoval Castro} and R. {Belmar Casso} and C.M. {Capetillo Leal},https://www.sciencedirect.com/science/article/pii/S0889157504000274,https://doi.org/10.1016/j.jfca.2004.02.002,0889-1575,2005,447-450,Journal of Food Composition and Analysis,Effect of substrate and harvest on the amino acid profile of Oyster mushroom (Pleurotus ostreatus),article,
Weiwen Chai and Michael Liebman,https://www.sciencedirect.com/science/article/pii/S0889157504001243,https://doi.org/10.1016/j.jfca.2004.07.001,0889-1575,2005,723-729,Journal of Food Composition and Analysis,"Oxalate content of legumes, nuts, and grain-based flours",article,
John K. Candlish and Lynn Gourley and H.P. Lee,https://www.sciencedirect.com/science/article/pii/0889157587900159,https://doi.org/10.1016/0889-1575(87)90015-9,0889-1575,1987,81-84,Journal of Food Composition and Analysis,Dietary fiber and starch in some Southeast Asian fruits,article,
Walter M. Warren-Vega and Rocío Fonseca-Aguiñaga and Linda V. González-Gutiérrez and Francisco Carrasco-Marín and Ana I. Zárate-Guzmán and Luis A. Romero-Cano,https://www.sciencedirect.com/science/article/pii/S0889157521000041,https://doi.org/10.1016/j.jfca.2021.103804,0889-1575,2021,103804,Journal of Food Composition and Analysis,Chemical characterization of tequila maturation process and their connection with the physicochemical properties of the cask,article,
Kevin Lombard and Ellen Peffley and Emanuel Geoffriau and Leslie Thompson and Andy Herring,https://www.sciencedirect.com/science/article/pii/S0889157504000675,https://doi.org/10.1016/j.jfca.2004.03.027,0889-1575,2005,571-581,Journal of Food Composition and Analysis,Quercetin in onion (Allium cepa L.) after heat-treatment simulating home preparation,article,
Robert L. Jarret and Brian Perkins and Titan Fan and Alison Prince and Kelly Guthrie and Brian Skoczenski,https://www.sciencedirect.com/science/article/pii/S0889157502001618,https://doi.org/10.1016/S0889-1575(02)00161-8,0889-1575,2003,189-194,Journal of Food Composition and Analysis,Using EIA to screen Capsicum spp. germplasm for capsaicinoid content,article,
Jana Pexová Kalinová and Naděžda Vrchotová and Jan Tříska,https://www.sciencedirect.com/science/article/pii/S0889157521000958,https://doi.org/10.1016/j.jfca.2021.103895,0889-1575,2021,103895,Journal of Food Composition and Analysis,Vitexin and isovitexin levels in sprouts of selected plants,article,
Mary {Kim Halbert} and Jeffrey C. Archer,https://www.sciencedirect.com/science/article/pii/S0889157507000427,https://doi.org/10.1016/j.jfca.2007.02.010,0889-1575,2007,506-514,Journal of Food Composition and Analysis,Dioxin and furan contamination of deodorizer distillates and natural vitamin E supplements,article,
Long Wang and Chuanfei Bian and Zemin Dong and Lang Liu and Chenyu Huang and Baotong Li and Yuqi Li,https://www.sciencedirect.com/science/article/pii/S0889157522002629,https://doi.org/10.1016/j.jfca.2022.104644,0889-1575,2022,104644,Journal of Food Composition and Analysis,Analytical method for the determination of guvermectin residues in rice environment by the QuEChERS method combined with HPLC,article,
Xiao Huang and Tao Chen and Pengyu Zhou and Xuexi Huang and Dan Liu and Weixin Jin and Hongtu Zhang and Jianguo Zhou and Zhongjun Wang and Zhihong Gao,https://www.sciencedirect.com/science/article/pii/S0889157522002228,https://doi.org/10.1016/j.jfca.2022.104604,0889-1575,2022,104604,Journal of Food Composition and Analysis,Prediction and optimization of fruit quality of peach based on artificial neural network,article,
Atul Kapoor and  Varnika and  Pratibha and Jaspreet Kaur Rajput and Dinesh Singh and Nikhil Kumar and  Jigyasa,https://www.sciencedirect.com/science/article/pii/S0889157522004100,https://doi.org/10.1016/j.jfca.2022.104792,0889-1575,2022,104792,Journal of Food Composition and Analysis,Bi2O3@MWCNT@g-C3N4 ternary nanocomposite for the efficient electrochemical determination of Riboflavin in pharmaceutical samples,article,
R.Ertan Anlı and Nilüfer Vural and Semiramis Yılmaz and Ỳ.Halil Vural,https://www.sciencedirect.com/science/article/pii/S0889157503001042,https://doi.org/10.1016/S0889-1575(03)00104-2,0889-1575,2004,53-62,Journal of Food Composition and Analysis,The determination of biogenic amines in Turkish red wines,article,
M.N. Adindu and F.F. Olayemi and O.U. Nze-Dike,https://www.sciencedirect.com/science/article/pii/S088915750200128X,https://doi.org/10.1016/S0889-1575(02)00128-X,0889-1575,2003,21-24,Journal of Food Composition and Analysis,Cyanogenic potential of some cassava products in Port Harcourt markets in Nigeria,article,
R. Moreno-Rojas and M.A. Amaro-Lopez and G. Zurera-Cosano,https://www.sciencedirect.com/science/article/pii/088915759290033G,https://doi.org/10.1016/0889-1575(92)90033-G,0889-1575,1992,168-171,Journal of Food Composition and Analysis,Mineral elements distribution in fresh asparagus,article,
Badrul Hisyam Zainudin and Muhammad Isfaiz Iskandar and Suzannah Sharif and Aznie Aida Ahmad and Muhd Fauzi Safian,https://www.sciencedirect.com/science/article/pii/S0889157521004890,https://doi.org/10.1016/j.jfca.2021.104289,0889-1575,2022,104289,Journal of Food Composition and Analysis,Validation of quick and highly specific quantitation method of mycotoxin in cocoa beans by high resolution multiple reaction monitoring technique for reference materials analysis,article,
Liu Zhang and Qing Nie and Haiyan Ji and Yaqian Wang and Yaoguang Wei and Dong An,https://www.sciencedirect.com/science/article/pii/S0889157521005469,https://doi.org/10.1016/j.jfca.2021.104346,0889-1575,2022,104346,Journal of Food Composition and Analysis,Hyperspectral imaging combined with generative adversarial network (GAN)-based data augmentation to identify haploid maize kernels,article,
F. Tateo and M. Bononi,https://www.sciencedirect.com/science/article/pii/S0889157505000311,https://doi.org/10.1016/j.jfca.2004.12.003,0889-1575,2006,83-87,Journal of Food Composition and Analysis,Determination of ethylene chlorohydrin as marker of spices fumigation with ethylene oxide,article,
T.T.N. Dinh and J.R. Blanton and J.C. Brooks and M.F. Miller and L.D. Thompson,https://www.sciencedirect.com/science/article/pii/S0889157508000112,https://doi.org/10.1016/j.jfca.2008.02.001,0889-1575,2008,306-314,Journal of Food Composition and Analysis,A simplified method for cholesterol determination in meat and meat products,article,
William H Lamont,https://www.sciencedirect.com/science/article/pii/S0889157503000978,https://doi.org/10.1016/S0889-1575(03)00097-8,0889-1575,2003,687-695,Journal of Food Composition and Analysis,Concentration of inorganic arsenic in samples of white rice from the United States,article,
Gema Puertas and Manuel Vázquez,https://www.sciencedirect.com/science/article/pii/S0889157519306465,https://doi.org/10.1016/j.jfca.2019.103350,0889-1575,2020,103350,Journal of Food Composition and Analysis,UV-VIS-NIR spectroscopy and artificial neural networks for the cholesterol quantification in egg yolk,article,
Rune Slimestad and Kjell Torskangerpoll and Haavard S. Nateland and Tina Johannessen and Nils H. Giske,https://www.sciencedirect.com/science/article/pii/S0889157503001789,https://doi.org/10.1016/j.jfca.2003.12.003,0889-1575,2005,61-68,Journal of Food Composition and Analysis,"Flavonoids from black chokeberries, Aronia melanocarpa",article,
Antonio Cano and Alejandro Medina and Almudena Bermejo,https://www.sciencedirect.com/science/article/pii/S0889157508000513,https://doi.org/10.1016/j.jfca.2008.03.005,0889-1575,2008,377-381,Journal of Food Composition and Analysis,Bioactive compounds in different citrus varieties. Discrimination among cultivars,article,
Ri-Na Wu and Ya-Li Dang and Le Niu and Hong Hu,https://www.sciencedirect.com/science/article/pii/S0889157508000999,https://doi.org/10.1016/j.jfca.2008.05.010,0889-1575,2008,582-586,Journal of Food Composition and Analysis,Application of matrix solid-phase dispersion–HPLC method to determine patulin in apple and apple juice concentrate,article,
Ali Rashidinejad and E. John Birch and David W. Everett,https://www.sciencedirect.com/science/article/pii/S0889157516300205,https://doi.org/10.1016/j.jfca.2016.03.001,0889-1575,2016,120-127,Journal of Food Composition and Analysis,Green tea catechins suppress xanthine oxidase activity in dairy products: An improved HPLC analysis,article,
Fatih Kahrıman and Umut Songur and Mehmet Şerment and Şule Akbulut and Cem Ömer Egesel,https://www.sciencedirect.com/science/article/pii/S0889157519308014,https://doi.org/10.1016/j.jfca.2019.103380,0889-1575,2020,103380,Journal of Food Composition and Analysis,Comparison of colorimetric methods for determination of phytic acid content in raw and oil extracted flour samples of maize,article,
Peng Zhou and Feng Zhao and Mingjie Chen and Naixing Ye and Qin Lin and Liqun Ouyang and Xiaoming Cai and Peng Meng and Xuedong Gong and Ying Wang,https://www.sciencedirect.com/science/article/pii/S0889157518313206,https://doi.org/10.1016/j.jfca.2019.05.007,0889-1575,2019,46-54,Journal of Food Composition and Analysis,Determination of 21 free amino acids in 5 types of tea by ultra-high performance liquid chromatography coupled with tandem mass spectrometry (UHPLC–MS/MS) using a modified 6-aminoquinolyl-N-hydroxysuccinimidyl carbamate (AQC) method,article,
P.J Cressey,https://www.sciencedirect.com/science/article/pii/S0889157502001321,https://doi.org/10.1016/S0889-1575(02)00132-1,0889-1575,2003,25-36,Journal of Food Composition and Analysis,Iodine content of New Zealand dairy products,article,
Sharon S. Swize and Kerri B. Harris and J.W. Savell and H.R. Cross,https://www.sciencedirect.com/science/article/pii/088915759290032F,https://doi.org/10.1016/0889-1575(92)90032-F,0889-1575,1992,160-167,Journal of Food Composition and Analysis,"Cholesterol content of lean and fat from beef, pork, and lamb cuts",article,
Uri Yaritz and Ron Schweitzer and Doron Holland and Li Tian and Rachel Amir,https://www.sciencedirect.com/science/article/pii/S0889157522001004,https://doi.org/10.1016/j.jfca.2022.104482,0889-1575,2022,104482,Journal of Food Composition and Analysis,Metabolic profiling of outer fruit peels from 15 accessions of pomegranate (Punica granatum L.),article,
V. Raghu and Kalpana Platel and K. Srinivasan,https://www.sciencedirect.com/science/article/pii/S0889157507000373,https://doi.org/10.1016/j.jfca.2007.02.006,0889-1575,2007,529-533,Journal of Food Composition and Analysis,Comparison of ascorbic acid content of Emblica officinalis fruits determined by different analytical methods,article,
Chenping Zhang and Yutong Wang and Danyang Ding and Jin Su and Zhigang Zhao,https://www.sciencedirect.com/science/article/pii/S0889157522000795,https://doi.org/10.1016/j.jfca.2022.104461,0889-1575,2022,104461,Journal of Food Composition and Analysis,"Volatile profiles of Allium tenuissimum L. flower fried by four different oils, using SPME–GC–MS, and sensory evaluation coupled with partial least squares regression",article,
Izabela Fecka and Agnieszka Nowicka and Alicja Z. Kucharska and Anna Sokół-Łętowska,https://www.sciencedirect.com/science/article/pii/S0889157520313740,https://doi.org/10.1016/j.jfca.2020.103669,0889-1575,2021,103669,Journal of Food Composition and Analysis,"The effect of strawberry ripeness on the content of polyphenols, cinnamates, L-ascorbic and carboxylic acids",article,
Amir M. Ramezani and Yadollah Yamini and Mahsa Nazraz,https://www.sciencedirect.com/science/article/pii/S0889157521000065,https://doi.org/10.1016/j.jfca.2021.103806,0889-1575,2021,103806,Journal of Food Composition and Analysis,Development of a convenient polypyrrole based sorbent for headspace solid phase microextraction of diazinon and chlorpyrifos,article,
Natalia Moratalla-López and Ana M. Sánchez and Cándida Lorenzo and Horacio López-Córcoles and Gonzalo L. Alonso,https://www.sciencedirect.com/science/article/pii/S0889157520313181,https://doi.org/10.1016/j.jfca.2020.103613,0889-1575,2020,103613,Journal of Food Composition and Analysis,Quality determination of Crocus sativus L. flower by high-performance liquid chromatography,article,
Joseph O. Kuti and Hima B. Konoru,https://www.sciencedirect.com/science/article/pii/S0889157506000111,https://doi.org/10.1016/j.jfca.2006.01.006,0889-1575,2006,556-561,Journal of Food Composition and Analysis,Cyanogenic glycosides content in two edible leaves of tree spinach (Cnidoscolus spp.),article,
Cibele Cristina Osawa and Lireny Aparecida Guaraldo Gonçalves and Sidnei Ragazzi,https://www.sciencedirect.com/science/article/pii/S0889157507000324,https://doi.org/10.1016/j.jfca.2007.02.002,0889-1575,2007,523-528,Journal of Food Composition and Analysis,Correlation between free fatty acids of vegetable oils evaluated by rapid tests and by the official method,article,
M.G. Bellomo and B. Fallico,https://www.sciencedirect.com/science/article/pii/S0889157506000871,https://doi.org/10.1016/j.jfca.2006.04.002,0889-1575,2007,352-359,Journal of Food Composition and Analysis,"Anthocyanins, chlorophylls and xanthophylls in pistachio nuts (Pistacia vera) of different geographic origin",article,
Jaecheol Kim and Keum Taek Hwang,https://www.sciencedirect.com/science/article/pii/S0889157519311421,https://doi.org/10.1016/j.jfca.2019.103354,0889-1575,2020,103354,Journal of Food Composition and Analysis,Fagopyrins in different parts of common buckwheat (Fagopyrum esculentum) and Tartary buckwheat (F. tataricum) during growth,article,
Roberto Rodríguez Madrera and Belén Suárez Valles,https://www.sciencedirect.com/science/article/pii/S088915751930849X,https://doi.org/10.1016/j.jfca.2019.103334,0889-1575,2020,103334,Journal of Food Composition and Analysis,Development and validation of ultrasound assisted extraction (UAE) and HPLC-DAD method for determination of polyphenols in dry beans (Phaseolus vulgaris),article,
James L. Stahl and M.E. Cook and J.L. Greger,https://www.sciencedirect.com/science/article/pii/0889157588900300,https://doi.org/10.1016/0889-1575(88)90030-0,0889-1575,1988,309-315,Journal of Food Composition and Analysis,"Zinc, iron, and copper contents of eggs from hens fed varying levels of zinc",article,
Joana Pico and Yifan Yan and Eric M. Gerbrandt and Simone D. Castellarin,https://www.sciencedirect.com/science/article/pii/S0889157522000308,https://doi.org/10.1016/j.jfca.2022.104412,0889-1575,2022,104412,Journal of Food Composition and Analysis,Determination of free and bound phenolics in northern highbush blueberries by a validated HPLC/QTOF methodology,article,
Weixiao Liu and Liang Li and Zhe Zhang and Mei Dong and Wujun Jin,https://www.sciencedirect.com/science/article/pii/S0889157519316710,https://doi.org/10.1016/j.jfca.2020.103564,0889-1575,2020,103564,Journal of Food Composition and Analysis,iTRAQ-based quantitative proteomic analysis of transgenic and non-transgenic maize seeds,article,
Carolina E. Cagnasso and Laura B. López and Viviana G. Rodríguez and Mirta E. Valencia,https://www.sciencedirect.com/science/article/pii/S0889157506001049,https://doi.org/10.1016/j.jfca.2006.05.008,0889-1575,2007,248-251,Journal of Food Composition and Analysis,Development and validation of a method for the determination of EDTA in non-alcoholic drinks by HPLC,article,
Tadashi Mizutani and Akimitsu Kimizuka and Kenneth Ruddle and Naomichi Ishige,https://www.sciencedirect.com/science/article/pii/088915759290031E,https://doi.org/10.1016/0889-1575(92)90031-E,0889-1575,1992,152-159,Journal of Food Composition and Analysis,Chemical components of fermented fish products,article,
Euclides Lara Cardozo and Osvaldo Ferrarese-Filho and Lucio Cardozo Filho and Maria de Lourdes Lucio Ferrarese and Carmen Maria Donaduzzi and José Alfredo Sturion,https://www.sciencedirect.com/science/article/pii/S0889157507000683,https://doi.org/10.1016/j.jfca.2007.04.007,0889-1575,2007,553-558,Journal of Food Composition and Analysis,Methylxanthines and phenolic compounds in mate (Ilex paraguariensis St. Hil.) progenies grown in Brazil,article,
J. Howard Bradbury,https://www.sciencedirect.com/science/article/pii/S0889157505000827,https://doi.org/10.1016/j.jfca.2005.04.012,0889-1575,2006,388-393,Journal of Food Composition and Analysis,Simple wetting method to reduce cyanogen content of cassava flour,article,
Welington José Fernandes and Maria {das Graças Cardoso} and Fernando José Vilela and Augusto Ramalho {de Morais} and Vanisse {de Fátima Silva} and David Lee Nelson,https://www.sciencedirect.com/science/article/pii/S0889157506000512,https://doi.org/10.1016/j.jfca.2006.01.012,0889-1575,2007,257-261,Journal of Food Composition and Analysis,Physicochemical quality of a blend of domestic cachaças from the south of Minas Gerais,article,
Isao Kubo and Noriyoshi Masuoka and Ken-ichi Nihei and Brigitta Burgheim,https://www.sciencedirect.com/science/article/pii/S0889157506000238,https://doi.org/10.1016/j.jfca.2006.02.007,0889-1575,2006,579-588,Journal of Food Composition and Analysis,"Maniçoba, a quercetin-rich Amazonian dish",article,
Khavar Adhami and Hamideh Asadollahzadeh and Mahdieh Ghazizadeh,https://www.sciencedirect.com/science/article/pii/S0889157519312359,https://doi.org/10.1016/j.jfca.2020.103457,0889-1575,2020,103457,Journal of Food Composition and Analysis,"Preconcentration and determination of nickel (II) and copper (II) ions, in vegetable oils by [TBP] [PO4] IL-based dispersive liquid–liquid microextraction technique, and flame atomic absorption spectrophotometry",article,
Antonio Moreda-Piñeiro and Andrew Fisher and Steve J Hill,https://www.sciencedirect.com/science/article/pii/S0889157502001631,https://doi.org/10.1016/S0889-1575(02)00163-1,0889-1575,2003,195-211,Journal of Food Composition and Analysis,The classification of tea according to region of origin using pattern recognition techniques and trace metal data,article,
Sudhir Dahiya and Rupali Karpe and A.G. Hegde and R.M. Sharma,https://www.sciencedirect.com/science/article/pii/S0889157504000900,https://doi.org/10.1016/j.jfca.2004.05.002,0889-1575,2005,517-522,Journal of Food Composition and Analysis,"Lead, cadmium and nickel in chocolates and candies from suburban areas of Mumbai, India",article,
Xinguo Su and Jun Duan and Yueming Jiang and John Shi and Yukio Kakuda,https://www.sciencedirect.com/science/article/pii/S0889157505000414,https://doi.org/10.1016/j.jfca.2005.02.005,0889-1575,2006,348-353,Journal of Food Composition and Analysis,Effects of soaking conditions on the antioxidant potentials of oolong tea,article,
Luqing Li and Yujie Wang and Qingqing Cui and Ying Liu and Jingming Ning and Zhengzhu Zhang,https://www.sciencedirect.com/science/article/pii/S0889157521005007,https://doi.org/10.1016/j.jfca.2021.104300,0889-1575,2022,104300,Journal of Food Composition and Analysis,Qualitative and quantitative quality evaluation of black tea fermentation through noncontact chemical imaging,article,
Ivan Chang Yen and Luisa {Rojas de Astudillo} and Jose {Franco Soler} and Amelia {la Barbera-Sánchez},https://www.sciencedirect.com/science/article/pii/S0889157505000256,https://doi.org/10.1016/j.jfca.2004.11.006,0889-1575,2006,88-94,Journal of Food Composition and Analysis,Paralytic shellfish poisoning toxin profiles in green mussels from Trinidad and Venezuela,article,
H. Ceballos and T. Sánchez and A.L. Chávez and C. Iglesias and D. Debouck and G. Mafla and J. Tohme,https://www.sciencedirect.com/science/article/pii/S0889157505001225,https://doi.org/10.1016/j.jfca.2005.11.001,0889-1575,2006,589-593,Journal of Food Composition and Analysis,Variation in crude protein content in cassava (Manihot esculenta Crantz) roots,article,
Li Zaijun and Yang Yuling and Tang Jian and Pan Jiaomai,https://www.sciencedirect.com/science/article/pii/S0889157504000742,https://doi.org/10.1016/j.jfca.2004.04.006,0889-1575,2005,561-569,Journal of Food Composition and Analysis,"9-(2,4-dihydroxyphenyl)-2,3,7-trihydroxyl-6-fluorone as analytical reagent for spectrophotometric determination of molybdenum in plant tissues",article,
Jairam Vanamala and Lavanya Reddivari and Kil Sun Yoo and Leonard M. Pike and Bhimanagouda S. Patil,https://www.sciencedirect.com/science/article/pii/S0889157505000803,https://doi.org/10.1016/j.jfca.2005.06.002,0889-1575,2006,157-166,Journal of Food Composition and Analysis,Variation in the content of bioactive flavonoids in different brands of orange and grapefruit juices,article,
Ina Clausen and Lars Ovesen,https://www.sciencedirect.com/science/article/pii/S0889157504000638,https://doi.org/10.1016/j.jfca.2004.03.024,0889-1575,2005,201-211,Journal of Food Composition and Analysis,Changes in fat content of pork and beef after pan-frying under different conditions,article,
Heon-Woong Kim and Sang Hoon Lee and Seon Mi Yoo and Mi-Nam Chung and Jung Bong Kim and Stefan Kehraus and Gabriele M. König,https://www.sciencedirect.com/science/article/pii/S0889157521001058,https://doi.org/10.1016/j.jfca.2021.103905,0889-1575,2021,103905,Journal of Food Composition and Analysis,Identification and quantification of hydroxybenzoyl and hydroxycinnamoyl derivatives from Korean sweet potato cultivars by UPLC-DAD-QToF/MS,article,
Tamanna Sultana and David L McNeil and Noel G Porter and Geoffrey P Savage,https://www.sciencedirect.com/science/article/pii/S0889157503000942,https://doi.org/10.1016/S0889-1575(03)00094-2,0889-1575,2003,637-646,Journal of Food Composition and Analysis,Investigation of isothiocyanate yield from flowering and non-flowering tissues of wasabi grown in a flooded system,article,
W.J. Mullin and M.S. Wolynetz and J.P. Emery,https://www.sciencedirect.com/science/article/pii/088915759290040Q,https://doi.org/10.1016/0889-1575(92)90040-Q,0889-1575,1992,216-223,Journal of Food Composition and Analysis,A comparison of methods for the extraction and quantitation of Alk(en)ylresorcinols,article,
M.A. Romero-Rodriguez and M.L. Vazquez-Oderiz and J. Lopez-Hernandez and J. Simal-Lozano,https://www.sciencedirect.com/science/article/pii/088915759290065R,https://doi.org/10.1016/0889-1575(92)90065-R,0889-1575,1992,319-322,Journal of Food Composition and Analysis,Physical and analytical characteristics of the kiwano,article,
Radha Iyengar and Craig W. Bohmont and Arthur J. Mcevily,https://www.sciencedirect.com/science/article/pii/088915759190008T,https://doi.org/10.1016/0889-1575(91)90008-T,0889-1575,1991,148-157,Journal of Food Composition and Analysis,4-Hexylresorcinol and prevention of shrimp blackspot: Residual analyses,article,
