,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
25,C20:4n-6,0.10,0.09,0.10,0.09,0.08,0.07,0.05,0.07,0.05,0.06,0.04,0.04,0.04,0.04,0.02,0.02,0.03,0.003,,,,***,n.s.
26,C20:3n-3,0.11,0.08,0.10,0.09,0.09,0.07,0.05,0.07,0.06,0.06,0.05,0.06,0.05,0.07,0.06,0.06,0.06,0.002,**,,n.,***,n.s.
27,C20:5n-3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.000,***,n.s.,,***,***
28,C22:2n-6,0.18,0.25,0.20,0.28,0.27,0.91,1.74,1.37,1.32,0.20,0.33,0.46,0.53,1.07,1.41,1.47,1.41,0.072,***,**,*,***,n.s.
29,C24:0,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.06,0.03,0.03,0.04,0.001,***,***,***,***,**
30,SFA,38.6,40.8,37.4,39.3,39.2,38.0,37.9,36.6,38.1,38.1,41.4,38.7,42.2,42.5,42.5,43.7,43.8,0.321,***,n.s.,n.,***,n.s.
31,,,,,,,,,,,,,,,,,,,,***,,s.,***,
32,UFA,61.4,59.2,62.6,60.7,60.8,62.0,62.1,63.4,61.9,61.9,58.6,61.3,57.8,57.5,57.5,56.3,56.2,0.321,***,n.s.,n.,***,n.s.
33,MUFA,50.9,49.1,52.6,51.0,51.1,52.3,53.6,53.6,53.8,53.4,52.4,54.9,52.2,50.8,52.3,51.2,51.0,0.216,***,n.s.,n.,**,n.s.
34,PUFA,10.5,10.0,10.1,9.68,9.63,9.74,8.40,9.82,8.04,8.45,6.25,6.33,5.56,6.67,5.23,5.09,5.23,0.249,,,,**,*
35,n-3,0.59,0.54,0.57,9.16,0.52,0.43,0.31,0.39,0.32,8.06,0.27,0.30,0.25,0.29,0.20,0.20,0.21,0.016,,***,***,**,n.s.
36,n-6,9.94,9.50,9.49,9.16,9.11,9.31,8.10,9.43,7.72,8.06,5.98,6.02,5.31,6.38,5.03,4.89,5.02,0.234,,,***,***,
37,P/S,0.27,0.25,0.27,0.25,0.25,0.26,0.22,0.27,0.21,0.22,0.15,0.16,0.13,0.16,0.12,0.12,0.12,0.007,***,***,**,***,*
38,n-6/n-,16.7,17.5,16.8,17.8,17.4,21.7,26.5,24.3,24.3,20.6,22.5,20.0,21.1,22.1,25.0,25.0,24.2,0.403,***,***,n.,***,*
39,3,,,,,,,,,,,,,,,,,,,,,s.,***,
40,AI,0.45,0.49,0.44,0.46,0.46,0.44,0.46,0.43,0.46,0.46,0.52,0.47,0.54,0.55,0.55,0.55,0.56,0.006,***,n.s.,n.,***,n.s.
41,TI,0.78,0.83,0.74,0.78,0.79,0.70,0.64,0.63,0.67,0.72,0.78,0.75,0.82,0.81,0.77,0.81,0.82,0.009,***,n.s.,n.,**,n.s.
42,h,58.9,56.7,60.0,58.2,58.4,59.9,59.6,61.1,59.4,59.4,56.2,58.7,55.3,54.7,54.5,53.8,53.5,0.333,***,n.s.,n.,***,n.s.
43,H,24.7,26.2,24.6,25.2,25.0,25.1,25.9,24.7,25.7,26.0,27.8,26.3,27.9,28.6,28.4,28.3,28.3,0.197,***,,n.,***,n.s.
44,,,,,,,,,,,,,,,,,,,,***,,s.,***,
45,h/H,2.39,2.18,2.44,2.31,2.34,2.39,2.30,2.47,2.31,2.29,2.03,2.23,1.98,1.92,1.92,1.90,1.89,0.028,***,,n.,***,n.s.
46,NI,2.60,2.41,2.62,2.56,2.59,2.58,2.50,2.62,2.55,2.49,2.36,2.53,2.36,2.23,2.28,2.33,2.31,0.019,***,n.s.,n.,**,n.s.
47,,,,,,,,,,,,,,,,,,,,,,S.,,
