orkg:P27060,paper:authors,paper:url,paper:doi,orkg:P74029,paper:publication_year,paper:published_in,paper:title,paper:research_field,contribution:research_problem
,A.Paula Cardoso and Estevao Mirione and Mario Ernesto and Fernando Massaza and Julie Cliff and M. {Rezaul Haque} and J.Howard Bradbury,https://www.sciencedirect.com/science/article/pii/S0889157504000705,10.1016/j.jfca.2004.04.002,0889-1575,2005,Journal of Food Composition and Analysis,Processing of cassava roots to remove cyanogens,R91,Food components identification
,Michael Rychlik and Katja Englert and Susanne Kapfer and Eva Kirchhoff,https://www.sciencedirect.com/science/article/pii/S088915750600192X,10.1016/j.jfca.2006.10.006,0889-1575,2007,Journal of Food Composition and Analysis,Folate contents of legumes determined by optimized enzyme treatment and stable isotope dilution assays,R91,Food components identification
,Margit Schollenberger and Winfried Drochner and Melanie Rüfle and Sybille Suchy and Helga Terry-Jara and Hans-Martin Müller,https://www.sciencedirect.com/science/article/pii/S0889157503001649,10.1016/j.jfca.2003.10.009,0889-1575,2005,Journal of Food Composition and Analysis,Trichothecene toxins in different groups of conventional and organic bread of the German market,R91,Food components identification
,Mario Vincenzo Russo and Antonella {De Leonardis} and Vincenzo Macciola,https://www.sciencedirect.com/science/article/pii/S0889157504001231,10.1016/j.jfca.2004.06.014,0889-1575,2005,Journal of Food Composition and Analysis,Solid phase extraction—gas-chromatographic method to determine free cholesterol in animal fats,R91,Food components identification
,Ilknur Alibas and Aslihan Yilmaz and B. Baris Asik and Hilal Erdoğan,https://www.sciencedirect.com/science/article/pii/S0889157520314630,10.1016/j.jfca.2020.103758,0889-1575,2021,Journal of Food Composition and Analysis,"Influence of drying methods on the nutrients, protein content and vitamin profile of basil leaves",R91,Food components identification
,Austin R. Long and Lily C. Hsieh and Marsha S. Malbrough and Charles R. Short and Steven A. Barker,https://www.sciencedirect.com/science/article/pii/0889157590900057,10.1016/0889-1575(90)90005-7,0889-1575,1990,Journal of Food Composition and Analysis,Matrix solid phase dispersion (MSPD) extraction and liquid chromatographic determination of five benzimidazole anthelmintics in pork muscle tissue,R91,Food components identification
,Deivisson Ferreira {da Silva} and Patriciani Estela Cipriano and Ray Rodrigues {de Souza} and Matias Siueia and Valdemar Faquin and Maria Ligia {de Souza Silva} and Luiz Roberto Guimarães Guilherme,https://www.sciencedirect.com/science/article/pii/S0889157518312614,10.1016/j.jfca.2019.103382,0889-1575,2020,Journal of Food Composition and Analysis,Biofortification with selenium and implications in the absorption of macronutrients in Raphanus sativus L.,R91,Food components identification
,M.Ma. {Martín Delgado} and A. {Hardisson de la Torre} and R. {Alvarez Marante},https://www.sciencedirect.com/science/article/pii/088915759290034H,10.1016/0889-1575(92)90034-H,0889-1575,1992,Journal of Food Composition and Analysis,"Concentration of fluoride in beers and soft drinks consumed in the Autonomous Community of the Canary Islands, Spain",R91,Food components identification
,Cai-Lin Kong and Dan-Ye Zhu and Yu Zhao and Tian-Yi Zhao and Yong-Sheng Tao,https://www.sciencedirect.com/science/article/pii/S0889157521004002,10.1016/j.jfca.2021.104200,0889-1575,2022,Journal of Food Composition and Analysis,"Spent yeast polysaccharides in mixed alcoholic fermentation between Pichia kluyveri, Pichia fermentans and Saccharomyces cerevisiae retarded wine fruity ester hydrolysis",R91,Food components identification
resource:KNSR2609,Carla Isabel Rodrigues and Liliana Marta and Rodrigo Maia and Marco Miranda and Miguel Ribeirinho and Cristina Máguas,https://www.sciencedirect.com/science/article/pii/S0889157506001906,10.1016/j.jfca.2006.08.005,0889-1575,2007,Journal of Food Composition and Analysis,Application of solid-phase extraction to brewed coffee caffeine and organic acid determination by UV/HPLC,R91,Food components identification
,L.Ancona Mendez and C.A. {Sandoval Castro} and R. {Belmar Casso} and C.M. {Capetillo Leal},https://www.sciencedirect.com/science/article/pii/S0889157504000274,10.1016/j.jfca.2004.02.002,0889-1575,2005,Journal of Food Composition and Analysis,Effect of substrate and harvest on the amino acid profile of Oyster mushroom (Pleurotus ostreatus),R91,Food components identification
,Weiwen Chai and Michael Liebman,https://www.sciencedirect.com/science/article/pii/S0889157504001243,10.1016/j.jfca.2004.07.001,0889-1575,2005,Journal of Food Composition and Analysis,"Oxalate content of legumes, nuts, and grain-based flours",R91,Food components identification
,John K. Candlish and Lynn Gourley and H.P. Lee,https://www.sciencedirect.com/science/article/pii/0889157587900159,10.1016/0889-1575(87)90015-9,0889-1575,1987,Journal of Food Composition and Analysis,Dietary fiber and starch in some Southeast Asian fruits,R91,Food components identification
,Walter M. Warren-Vega and Rocío Fonseca-Aguiñaga and Linda V. González-Gutiérrez and Francisco Carrasco-Marín and Ana I. Zárate-Guzmán and Luis A. Romero-Cano,https://www.sciencedirect.com/science/article/pii/S0889157521000041,10.1016/j.jfca.2021.103804,0889-1575,2021,Journal of Food Composition and Analysis,Chemical characterization of tequila maturation process and their connection with the physicochemical properties of the cask,R91,Food components identification
,Kevin Lombard and Ellen Peffley and Emanuel Geoffriau and Leslie Thompson and Andy Herring,https://www.sciencedirect.com/science/article/pii/S0889157504000675,10.1016/j.jfca.2004.03.027,0889-1575,2005,Journal of Food Composition and Analysis,Quercetin in onion (Allium cepa L.) after heat-treatment simulating home preparation,R91,Food components identification
,Robert L. Jarret and Brian Perkins and Titan Fan and Alison Prince and Kelly Guthrie and Brian Skoczenski,https://www.sciencedirect.com/science/article/pii/S0889157502001618,10.1016/S0889-1575(02)00161-8,0889-1575,2003,Journal of Food Composition and Analysis,Using EIA to screen Capsicum spp. germplasm for capsaicinoid content,R91,Food components identification
,Jana Pexová Kalinová and Naděžda Vrchotová and Jan Tříska,https://www.sciencedirect.com/science/article/pii/S0889157521000958,10.1016/j.jfca.2021.103895,0889-1575,2021,Journal of Food Composition and Analysis,Vitexin and isovitexin levels in sprouts of selected plants,R91,Food components identification
,Mary {Kim Halbert} and Jeffrey C. Archer,https://www.sciencedirect.com/science/article/pii/S0889157507000427,10.1016/j.jfca.2007.02.010,0889-1575,2007,Journal of Food Composition and Analysis,Dioxin and furan contamination of deodorizer distillates and natural vitamin E supplements,R91,Food components identification
,Long Wang and Chuanfei Bian and Zemin Dong and Lang Liu and Chenyu Huang and Baotong Li and Yuqi Li,https://www.sciencedirect.com/science/article/pii/S0889157522002629,10.1016/j.jfca.2022.104644,0889-1575,2022,Journal of Food Composition and Analysis,Analytical method for the determination of guvermectin residues in rice environment by the QuEChERS method combined with HPLC,R91,Food components identification
,Xiao Huang and Tao Chen and Pengyu Zhou and Xuexi Huang and Dan Liu and Weixin Jin and Hongtu Zhang and Jianguo Zhou and Zhongjun Wang and Zhihong Gao,https://www.sciencedirect.com/science/article/pii/S0889157522002228,10.1016/j.jfca.2022.104604,0889-1575,2022,Journal of Food Composition and Analysis,Prediction and optimization of fruit quality of peach based on artificial neural network,R91,Food components identification
,Atul Kapoor and  Varnika and  Pratibha and Jaspreet Kaur Rajput and Dinesh Singh and Nikhil Kumar and  Jigyasa,https://www.sciencedirect.com/science/article/pii/S0889157522004100,10.1016/j.jfca.2022.104792,0889-1575,2022,Journal of Food Composition and Analysis,Bi2O3@MWCNT@g-C3N4 ternary nanocomposite for the efficient electrochemical determination of Riboflavin in pharmaceutical samples,R91,Food components identification
,R.Ertan Anlı and Nilüfer Vural and Semiramis Yılmaz and Ỳ.Halil Vural,https://www.sciencedirect.com/science/article/pii/S0889157503001042,10.1016/S0889-1575(03)00104-2,0889-1575,2004,Journal of Food Composition and Analysis,The determination of biogenic amines in Turkish red wines,R91,Food components identification
,M.N. Adindu and F.F. Olayemi and O.U. Nze-Dike,https://www.sciencedirect.com/science/article/pii/S088915750200128X,10.1016/S0889-1575(02)00128-X,0889-1575,2003,Journal of Food Composition and Analysis,Cyanogenic potential of some cassava products in Port Harcourt markets in Nigeria,R91,Food components identification
,R. Moreno-Rojas and M.A. Amaro-Lopez and G. Zurera-Cosano,https://www.sciencedirect.com/science/article/pii/088915759290033G,10.1016/0889-1575(92)90033-G,0889-1575,1992,Journal of Food Composition and Analysis,Mineral elements distribution in fresh asparagus,R91,Food components identification
,Badrul Hisyam Zainudin and Muhammad Isfaiz Iskandar and Suzannah Sharif and Aznie Aida Ahmad and Muhd Fauzi Safian,https://www.sciencedirect.com/science/article/pii/S0889157521004890,10.1016/j.jfca.2021.104289,0889-1575,2022,Journal of Food Composition and Analysis,Validation of quick and highly specific quantitation method of mycotoxin in cocoa beans by high resolution multiple reaction monitoring technique for reference materials analysis,R91,Food components identification
,Liu Zhang and Qing Nie and Haiyan Ji and Yaqian Wang and Yaoguang Wei and Dong An,https://www.sciencedirect.com/science/article/pii/S0889157521005469,10.1016/j.jfca.2021.104346,0889-1575,2022,Journal of Food Composition and Analysis,Hyperspectral imaging combined with generative adversarial network (GAN)-based data augmentation to identify haploid maize kernels,R91,Food components identification
,F. Tateo and M. Bononi,https://www.sciencedirect.com/science/article/pii/S0889157505000311,10.1016/j.jfca.2004.12.003,0889-1575,2006,Journal of Food Composition and Analysis,Determination of ethylene chlorohydrin as marker of spices fumigation with ethylene oxide,R91,Food components identification
,T.T.N. Dinh and J.R. Blanton and J.C. Brooks and M.F. Miller and L.D. Thompson,https://www.sciencedirect.com/science/article/pii/S0889157508000112,10.1016/j.jfca.2008.02.001,0889-1575,2008,Journal of Food Composition and Analysis,A simplified method for cholesterol determination in meat and meat products,R91,Food components identification
,William H Lamont,https://www.sciencedirect.com/science/article/pii/S0889157503000978,10.1016/S0889-1575(03)00097-8,0889-1575,2003,Journal of Food Composition and Analysis,Concentration of inorganic arsenic in samples of white rice from the United States,R91,Food components identification
,Gema Puertas and Manuel Vázquez,https://www.sciencedirect.com/science/article/pii/S0889157519306465,10.1016/j.jfca.2019.103350,0889-1575,2020,Journal of Food Composition and Analysis,UV-VIS-NIR spectroscopy and artificial neural networks for the cholesterol quantification in egg yolk,R91,Food components identification
,Rune Slimestad and Kjell Torskangerpoll and Haavard S. Nateland and Tina Johannessen and Nils H. Giske,https://www.sciencedirect.com/science/article/pii/S0889157503001789,10.1016/j.jfca.2003.12.003,0889-1575,2005,Journal of Food Composition and Analysis,"Flavonoids from black chokeberries, Aronia melanocarpa",R91,Food components identification
,Antonio Cano and Alejandro Medina and Almudena Bermejo,https://www.sciencedirect.com/science/article/pii/S0889157508000513,10.1016/j.jfca.2008.03.005,0889-1575,2008,Journal of Food Composition and Analysis,Bioactive compounds in different citrus varieties. Discrimination among cultivars,R91,Food components identification
,Ri-Na Wu and Ya-Li Dang and Le Niu and Hong Hu,https://www.sciencedirect.com/science/article/pii/S0889157508000999,10.1016/j.jfca.2008.05.010,0889-1575,2008,Journal of Food Composition and Analysis,Application of matrix solid-phase dispersion–HPLC method to determine patulin in apple and apple juice concentrate,R91,Food components identification
,Ali Rashidinejad and E. John Birch and David W. Everett,https://www.sciencedirect.com/science/article/pii/S0889157516300205,10.1016/j.jfca.2016.03.001,0889-1575,2016,Journal of Food Composition and Analysis,Green tea catechins suppress xanthine oxidase activity in dairy products: An improved HPLC analysis,R91,Food components identification
,Fatih Kahrıman and Umut Songur and Mehmet Şerment and Şule Akbulut and Cem Ömer Egesel,https://www.sciencedirect.com/science/article/pii/S0889157519308014,10.1016/j.jfca.2019.103380,0889-1575,2020,Journal of Food Composition and Analysis,Comparison of colorimetric methods for determination of phytic acid content in raw and oil extracted flour samples of maize,R91,Food components identification
,Peng Zhou and Feng Zhao and Mingjie Chen and Naixing Ye and Qin Lin and Liqun Ouyang and Xiaoming Cai and Peng Meng and Xuedong Gong and Ying Wang,https://www.sciencedirect.com/science/article/pii/S0889157518313206,10.1016/j.jfca.2019.05.007,0889-1575,2019,Journal of Food Composition and Analysis,Determination of 21 free amino acids in 5 types of tea by ultra-high performance liquid chromatography coupled with tandem mass spectrometry (UHPLC–MS/MS) using a modified 6-aminoquinolyl-N-hydroxysuccinimidyl carbamate (AQC) method,R91,Food components identification
,P.J Cressey,https://www.sciencedirect.com/science/article/pii/S0889157502001321,10.1016/S0889-1575(02)00132-1,0889-1575,2003,Journal of Food Composition and Analysis,Iodine content of New Zealand dairy products,R91,Food components identification
,Sharon S. Swize and Kerri B. Harris and J.W. Savell and H.R. Cross,https://www.sciencedirect.com/science/article/pii/088915759290032F,10.1016/0889-1575(92)90032-F,0889-1575,1992,Journal of Food Composition and Analysis,"Cholesterol content of lean and fat from beef, pork, and lamb cuts",R91,Food components identification
resource:KNSR2569,Uri Yaritz and Ron Schweitzer and Doron Holland and Li Tian and Rachel Amir,https://www.sciencedirect.com/science/article/pii/S0889157522001004,10.1016/j.jfca.2022.104482,0889-1575,2022,Journal of Food Composition and Analysis,Metabolic profiling of outer fruit peels from 15 accessions of pomegranate (Punica granatum L.),R91,Food components identification
,V. Raghu and Kalpana Platel and K. Srinivasan,https://www.sciencedirect.com/science/article/pii/S0889157507000373,10.1016/j.jfca.2007.02.006,0889-1575,2007,Journal of Food Composition and Analysis,Comparison of ascorbic acid content of Emblica officinalis fruits determined by different analytical methods,R91,Food components identification
,Chenping Zhang and Yutong Wang and Danyang Ding and Jin Su and Zhigang Zhao,https://www.sciencedirect.com/science/article/pii/S0889157522000795,10.1016/j.jfca.2022.104461,0889-1575,2022,Journal of Food Composition and Analysis,"Volatile profiles of Allium tenuissimum L. flower fried by four different oils, using SPME–GC–MS, and sensory evaluation coupled with partial least squares regression",R91,Food components identification
,Izabela Fecka and Agnieszka Nowicka and Alicja Z. Kucharska and Anna Sokół-Łętowska,https://www.sciencedirect.com/science/article/pii/S0889157520313740,10.1016/j.jfca.2020.103669,0889-1575,2021,Journal of Food Composition and Analysis,"The effect of strawberry ripeness on the content of polyphenols, cinnamates, L-ascorbic and carboxylic acids",R91,Food components identification
,Amir M. Ramezani and Yadollah Yamini and Mahsa Nazraz,https://www.sciencedirect.com/science/article/pii/S0889157521000065,10.1016/j.jfca.2021.103806,0889-1575,2021,Journal of Food Composition and Analysis,Development of a convenient polypyrrole based sorbent for headspace solid phase microextraction of diazinon and chlorpyrifos,R91,Food components identification
,Natalia Moratalla-López and Ana M. Sánchez and Cándida Lorenzo and Horacio López-Córcoles and Gonzalo L. Alonso,https://www.sciencedirect.com/science/article/pii/S0889157520313181,10.1016/j.jfca.2020.103613,0889-1575,2020,Journal of Food Composition and Analysis,Quality determination of Crocus sativus L. flower by high-performance liquid chromatography,R91,Food components identification
,Joseph O. Kuti and Hima B. Konoru,https://www.sciencedirect.com/science/article/pii/S0889157506000111,10.1016/j.jfca.2006.01.006,0889-1575,2006,Journal of Food Composition and Analysis,Cyanogenic glycosides content in two edible leaves of tree spinach (Cnidoscolus spp.),R91,Food components identification
,Cibele Cristina Osawa and Lireny Aparecida Guaraldo Gonçalves and Sidnei Ragazzi,https://www.sciencedirect.com/science/article/pii/S0889157507000324,10.1016/j.jfca.2007.02.002,0889-1575,2007,Journal of Food Composition and Analysis,Correlation between free fatty acids of vegetable oils evaluated by rapid tests and by the official method,R91,Food components identification
resource:KNSR2580,M.G. Bellomo and B. Fallico,https://www.sciencedirect.com/science/article/pii/S0889157506000871,10.1016/j.jfca.2006.04.002,0889-1575,2007,Journal of Food Composition and Analysis,"Anthocyanins, chlorophylls and xanthophylls in pistachio nuts (Pistacia vera) of different geographic origin",R91,Food components identification
,Jaecheol Kim and Keum Taek Hwang,https://www.sciencedirect.com/science/article/pii/S0889157519311421,10.1016/j.jfca.2019.103354,0889-1575,2020,Journal of Food Composition and Analysis,Fagopyrins in different parts of common buckwheat (Fagopyrum esculentum) and Tartary buckwheat (F. tataricum) during growth,R91,Food components identification
,Roberto Rodríguez Madrera and Belén Suárez Valles,https://www.sciencedirect.com/science/article/pii/S088915751930849X,10.1016/j.jfca.2019.103334,0889-1575,2020,Journal of Food Composition and Analysis,Development and validation of ultrasound assisted extraction (UAE) and HPLC-DAD method for determination of polyphenols in dry beans (Phaseolus vulgaris),R91,Food components identification
,James L. Stahl and M.E. Cook and J.L. Greger,https://www.sciencedirect.com/science/article/pii/0889157588900300,10.1016/0889-1575(88)90030-0,0889-1575,1988,Journal of Food Composition and Analysis,"Zinc, iron, and copper contents of eggs from hens fed varying levels of zinc",R91,Food components identification
,Joana Pico and Yifan Yan and Eric M. Gerbrandt and Simone D. Castellarin,https://www.sciencedirect.com/science/article/pii/S0889157522000308,10.1016/j.jfca.2022.104412,0889-1575,2022,Journal of Food Composition and Analysis,Determination of free and bound phenolics in northern highbush blueberries by a validated HPLC/QTOF methodology,R91,Food components identification
,Weixiao Liu and Liang Li and Zhe Zhang and Mei Dong and Wujun Jin,https://www.sciencedirect.com/science/article/pii/S0889157519316710,10.1016/j.jfca.2020.103564,0889-1575,2020,Journal of Food Composition and Analysis,iTRAQ-based quantitative proteomic analysis of transgenic and non-transgenic maize seeds,R91,Food components identification
,Carolina E. Cagnasso and Laura B. López and Viviana G. Rodríguez and Mirta E. Valencia,https://www.sciencedirect.com/science/article/pii/S0889157506001049,10.1016/j.jfca.2006.05.008,0889-1575,2007,Journal of Food Composition and Analysis,Development and validation of a method for the determination of EDTA in non-alcoholic drinks by HPLC,R91,Food components identification
,Tadashi Mizutani and Akimitsu Kimizuka and Kenneth Ruddle and Naomichi Ishige,https://www.sciencedirect.com/science/article/pii/088915759290031E,10.1016/0889-1575(92)90031-E,0889-1575,1992,Journal of Food Composition and Analysis,Chemical components of fermented fish products,R91,Food components identification
,Euclides Lara Cardozo and Osvaldo Ferrarese-Filho and Lucio Cardozo Filho and Maria de Lourdes Lucio Ferrarese and Carmen Maria Donaduzzi and José Alfredo Sturion,https://www.sciencedirect.com/science/article/pii/S0889157507000683,10.1016/j.jfca.2007.04.007,0889-1575,2007,Journal of Food Composition and Analysis,Methylxanthines and phenolic compounds in mate (Ilex paraguariensis St. Hil.) progenies grown in Brazil,R91,Food components identification
,J. Howard Bradbury,https://www.sciencedirect.com/science/article/pii/S0889157505000827,10.1016/j.jfca.2005.04.012,0889-1575,2006,Journal of Food Composition and Analysis,Simple wetting method to reduce cyanogen content of cassava flour,R91,Food components identification
,Welington José Fernandes and Maria {das Graças Cardoso} and Fernando José Vilela and Augusto Ramalho {de Morais} and Vanisse {de Fátima Silva} and David Lee Nelson,https://www.sciencedirect.com/science/article/pii/S0889157506000512,10.1016/j.jfca.2006.01.012,0889-1575,2007,Journal of Food Composition and Analysis,Physicochemical quality of a blend of domestic cachaças from the south of Minas Gerais,R91,Food components identification
,Isao Kubo and Noriyoshi Masuoka and Ken-ichi Nihei and Brigitta Burgheim,https://www.sciencedirect.com/science/article/pii/S0889157506000238,10.1016/j.jfca.2006.02.007,0889-1575,2006,Journal of Food Composition and Analysis,"Maniçoba, a quercetin-rich Amazonian dish",R91,Food components identification
,Khavar Adhami and Hamideh Asadollahzadeh and Mahdieh Ghazizadeh,https://www.sciencedirect.com/science/article/pii/S0889157519312359,10.1016/j.jfca.2020.103457,0889-1575,2020,Journal of Food Composition and Analysis,"Preconcentration and determination of nickel (II) and copper (II) ions, in vegetable oils by [TBP] [PO4] IL-based dispersive liquid–liquid microextraction technique, and flame atomic absorption spectrophotometry",R91,Food components identification
,Antonio Moreda-Piñeiro and Andrew Fisher and Steve J Hill,https://www.sciencedirect.com/science/article/pii/S0889157502001631,10.1016/S0889-1575(02)00163-1,0889-1575,2003,Journal of Food Composition and Analysis,The classification of tea according to region of origin using pattern recognition techniques and trace metal data,R91,Food components identification
,Sudhir Dahiya and Rupali Karpe and A.G. Hegde and R.M. Sharma,https://www.sciencedirect.com/science/article/pii/S0889157504000900,10.1016/j.jfca.2004.05.002,0889-1575,2005,Journal of Food Composition and Analysis,"Lead, cadmium and nickel in chocolates and candies from suburban areas of Mumbai, India",R91,Food components identification
,Xinguo Su and Jun Duan and Yueming Jiang and John Shi and Yukio Kakuda,https://www.sciencedirect.com/science/article/pii/S0889157505000414,10.1016/j.jfca.2005.02.005,0889-1575,2006,Journal of Food Composition and Analysis,Effects of soaking conditions on the antioxidant potentials of oolong tea,R91,Food components identification
,Luqing Li and Yujie Wang and Qingqing Cui and Ying Liu and Jingming Ning and Zhengzhu Zhang,https://www.sciencedirect.com/science/article/pii/S0889157521005007,10.1016/j.jfca.2021.104300,0889-1575,2022,Journal of Food Composition and Analysis,Qualitative and quantitative quality evaluation of black tea fermentation through noncontact chemical imaging,R91,Food components identification
,Ivan Chang Yen and Luisa {Rojas de Astudillo} and Jose {Franco Soler} and Amelia {la Barbera-Sánchez},https://www.sciencedirect.com/science/article/pii/S0889157505000256,10.1016/j.jfca.2004.11.006,0889-1575,2006,Journal of Food Composition and Analysis,Paralytic shellfish poisoning toxin profiles in green mussels from Trinidad and Venezuela,R91,Food components identification
,H. Ceballos and T. Sánchez and A.L. Chávez and C. Iglesias and D. Debouck and G. Mafla and J. Tohme,https://www.sciencedirect.com/science/article/pii/S0889157505001225,10.1016/j.jfca.2005.11.001,0889-1575,2006,Journal of Food Composition and Analysis,Variation in crude protein content in cassava (Manihot esculenta Crantz) roots,R91,Food components identification
,Li Zaijun and Yang Yuling and Tang Jian and Pan Jiaomai,https://www.sciencedirect.com/science/article/pii/S0889157504000742,10.1016/j.jfca.2004.04.006,0889-1575,2005,Journal of Food Composition and Analysis,"9-(2,4-dihydroxyphenyl)-2,3,7-trihydroxyl-6-fluorone as analytical reagent for spectrophotometric determination of molybdenum in plant tissues",R91,Food components identification
,Jairam Vanamala and Lavanya Reddivari and Kil Sun Yoo and Leonard M. Pike and Bhimanagouda S. Patil,https://www.sciencedirect.com/science/article/pii/S0889157505000803,10.1016/j.jfca.2005.06.002,0889-1575,2006,Journal of Food Composition and Analysis,Variation in the content of bioactive flavonoids in different brands of orange and grapefruit juices,R91,Food components identification
,Ina Clausen and Lars Ovesen,https://www.sciencedirect.com/science/article/pii/S0889157504000638,10.1016/j.jfca.2004.03.024,0889-1575,2005,Journal of Food Composition and Analysis,Changes in fat content of pork and beef after pan-frying under different conditions,R91,Food components identification
,Heon-Woong Kim and Sang Hoon Lee and Seon Mi Yoo and Mi-Nam Chung and Jung Bong Kim and Stefan Kehraus and Gabriele M. König,https://www.sciencedirect.com/science/article/pii/S0889157521001058,10.1016/j.jfca.2021.103905,0889-1575,2021,Journal of Food Composition and Analysis,Identification and quantification of hydroxybenzoyl and hydroxycinnamoyl derivatives from Korean sweet potato cultivars by UPLC-DAD-QToF/MS,R91,Food components identification
,Tamanna Sultana and David L McNeil and Noel G Porter and Geoffrey P Savage,https://www.sciencedirect.com/science/article/pii/S0889157503000942,10.1016/S0889-1575(03)00094-2,0889-1575,2003,Journal of Food Composition and Analysis,Investigation of isothiocyanate yield from flowering and non-flowering tissues of wasabi grown in a flooded system,R91,Food components identification
,W.J. Mullin and M.S. Wolynetz and J.P. Emery,https://www.sciencedirect.com/science/article/pii/088915759290040Q,10.1016/0889-1575(92)90040-Q,0889-1575,1992,Journal of Food Composition and Analysis,A comparison of methods for the extraction and quantitation of Alk(en)ylresorcinols,R91,Food components identification
,M.A. Romero-Rodriguez and M.L. Vazquez-Oderiz and J. Lopez-Hernandez and J. Simal-Lozano,https://www.sciencedirect.com/science/article/pii/088915759290065R,10.1016/0889-1575(92)90065-R,0889-1575,1992,Journal of Food Composition and Analysis,Physical and analytical characteristics of the kiwano,R91,Food components identification
,Radha Iyengar and Craig W. Bohmont and Arthur J. Mcevily,https://www.sciencedirect.com/science/article/pii/088915759190008T,10.1016/0889-1575(91)90008-T,0889-1575,1991,Journal of Food Composition and Analysis,4-Hexylresorcinol and prevention of shrimp blackspot: Residual analyses,R91,Food components identification
,Dong Chung Kim and Hee Jeong Chae and Man-Jin In,https://www.sciencedirect.com/science/article/pii/S0889157503001066,10.1016/S0889-1575(03)00106-6,0889-1575,2004,Journal of Food Composition and Analysis,Existence of stable fibrin-clotting inhibitor in salt-fermented anchovy sauce,R91,Food components identification
,M.L. Felsner and C.B. Cano and R.E. Bruns and H.M. Watanabe and L.B. Almeida-Muradian and J.R. Matos,https://www.sciencedirect.com/science/article/pii/S0889157503001583,10.1016/j.jfca.2003.11.001,0889-1575,2004,Journal of Food Composition and Analysis,Characterization of monofloral honeys by ash contents through a hierarchical design,R91,Food components identification
