,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
28,C24:0,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.05,0.03,0.02,0.03,0.03,0.03,0.04,0.04,0.001,***,n.s.,**,n.s.,***
29,SFA,38.6,38.5,36.3,37.8,36.7,38.1,38.5,36.7,38.5,37.9,41.3,38.8,42.4,42.6,42.5,44.3,44.3,0.360,***,n.s.,n.s.,***,n.s.
30,UFA,61.4,61.5,63.7,62.2,63.3,61.9,61.5,63.3,61.5,62.1,58.7,61.2,57.6,57.4,57.5,55.7,55.7,0.360,,n.s.,n.s.,***,n.s.
31,MUFA,50.6,51.5,53.6,52.3,53.8,52.4,54.1,54.0,53.4,51.9,51.4,54.7,51.9,50.6,52.2,51.2,51.3,0.189,***,n.s.,*,**,n.s.
32,PUFA,10.8,10.0,10.1,9.84,9.49,9.48,7.41,9.27,8.12,10.1,7.32,6.56,5.73,6.76,5.33,4.48,4.40,0.264,***,***,***,**,***
33,n-3,0.57,0.54,0.56,0.55,0.52,0.51,0.37,0.51,0.46,0.53,0.43,0.37,0.35,0.37,0.28,0.20,0.20,0.015,***,***,***,**,***
34,Dn-6,10.2,9.50,9.51,9.29,8.97,8.97,7.04,8.76,7.66,9.58,6.89,6.19,5.38,6.40,5.05,4.28,4.20,0.250,***,***,***,**,***
35,P/S,0.28,0.26,0.28,0.26,0.26,0.25,0.19,0.25,0.21,0.27,0.18,0.17,0.14,0.16,0.13,0.10,0.10,0.008,***,***,***,***,***
36,n-6/Dn-3,18.0,17.7,17.1,16.9,17.1,17.5,19.0,17.2,16.8,18.1,16.1,16.8,15.2,17.7,17.8,21.5,21.0,0.252,***,n.s.,n.s.,n.s.,***
37,AI,0.44,0.45,0.43,0.44,0.41,0.45,0.46,0.44,0.47,0.45,0.51,0.47,0.53,0.56,0.55,0.56,0.57,0.007,***,n.s.,n.s.,***,n.s.
38,TI,0.76,0.76,0.71,0.75,0.72,0.75,0.75,0.72,0.78,0.74,0.89,0.79,0.93,0.89,0.88,0.87,0.88,0.011,***,*,n.s.,***,n.s.
39,h,59.1,59.1,61.2,59.8,61.0,59.5,58.7,60.7,58.8,59.3,55.9,58.3,54.8,54.6,54.6,53.1,53.3,0.366,***,n.s.,n.s.,***,n.s.
40,H,24.7,25.1,24.5,24.7,23.8,24.9,25.8,24.8,25.7,24.7,26.7,25.8,27.3,28.4,28.3,28.2,28.4,0.208,***,n.s.,n.s.,***,
41,h/H,2.39,2.37,2.50,2.42,2.57,2.39,2.27,2.44,2.28,2.40,2.10,2.26,2.01,1.93,1.93,1.88,1.88,0.031,***,n.s.,n.s.,***,n.s.
42,NI,2.59,2.56,2.65,2.63,2.78,2.61,2.54,2.62,2.53,2.60,2.44,2.58,2.41,2.25,2.30,2.35,2.35,0.020,***,n.s.,n.s.,**,n.s.
