file,col,URI
KNSR2535_4,11,http://www.wikidata.org/entity/Q485277
KNSR2535_4,12,http://www.wikidata.org/entity/Q154037
KNSR2535_5,0,http://www.wikidata.org/entity/Q11173
KNSR2535_5,1,http://www.wikidata.org/entity/Q28566968
KNSR2535_5,2,http://www.wikidata.org/entity/Q28566968
KNSR2535_5,3,NIL
KNSR2535_5,4,http://www.wikidata.org/entity/Q28566968
KNSR2535_5,5,http://www.wikidata.org/entity/Q96586754
KNSR2535_5,6,NIL
KNSR2535_5,7,NIL
KNSR2536_1,0,http://www.wikidata.org/entity/Q11344
KNSR2536_1,1,http://www.wikidata.org/entity/Q13442814
KNSR2536_1,2,NIL
KNSR2536_1,3,http://www.wikidata.org/entity/Q51788
KNSR2536_3,0,http://www.wikidata.org/entity/Q11344
KNSR2536_3,1,NIL
KNSR2536_3,2,NIL
KNSR2536_3,3,NIL
KNSR2536_4,0,http://www.wikidata.org/entity/Q11344
KNSR2536_4,1,http://www.wikidata.org/entity/Q35096513
KNSR2536_4,2,http://www.wikidata.org/entity/Q40508581
KNSR2536_4,3,http://www.wikidata.org/entity/Q40508581
KNSR2536_4,4,NIL
KNSR2536_4,5,http://www.wikidata.org/entity/Q35096513
KNSR2536_4,6,http://www.wikidata.org/entity/Q35096513
KNSR2536_4,7,http://www.wikidata.org/entity/Q40508581
KNSR2536_4,8,NIL
KNSR2536_4,9,http://www.wikidata.org/entity/Q35096513
KNSR2536_4,10,http://www.wikidata.org/entity/Q40508581
KNSR2536_4,11,http://www.wikidata.org/entity/Q40508581
KNSR2536_4,12,http://www.wikidata.org/entity/Q40508581
KNSR2536_4,13,NIL
KNSR2605_12,0,http://www.wikidata.org/entity/Q47154513
KNSR2605_12,1,http://www.wikidata.org/entity/Q11173
KNSR2605_12,2,NIL
KNSR2605_12,3,NIL
KNSR2605_12,4,NIL
KNSR2605_12,5,NIL
KNSR2605_12,6,NIL
KNSR2605_12,7,NIL
KNSR2605_12,8,NIL
KNSR2605_12,9,NIL
KNSR2605_12,10,NIL
KNSR2605_2,0,http://www.wikidata.org/entity/Q13442814
KNSR2605_2,1,http://www.wikidata.org/entity/Q11173
KNSR2605_2,2,NIL
KNSR2605_2,3,NIL
KNSR2605_2,4,NIL
KNSR2605_2,5,NIL
KNSR2605_2,6,NIL
KNSR2605_2,7,NIL
KNSR2605_2,8,NIL
KNSR2605_2,9,NIL
KNSR2605_2,10,NIL
KNSR2605_3,0,http://www.wikidata.org/entity/Q11173
KNSR2605_3,1,http://www.wikidata.org/entity/Q7273241
KNSR2605_3,2,NIL
KNSR2605_3,3,NIL
KNSR2605_3,4,NIL
KNSR2605_3,5,NIL
KNSR2605_3,6,NIL
KNSR2605_3,7,NIL
KNSR2605_3,8,NIL
KNSR2605_3,9,NIL
KNSR2605_3,10,NIL
KNSR2605_3,11,NIL
KNSR2605_3,12,NIL
KNSR2605_4,0,http://www.wikidata.org/entity/Q11173
KNSR2605_4,1,NIL
KNSR2605_4,2,NIL
KNSR2605_4,3,NIL
KNSR2605_4,4,NIL
KNSR2605_4,5,NIL
KNSR2605_4,6,NIL
KNSR2605_4,7,NIL
KNSR2605_4,8,NIL
KNSR2605_4,9,NIL
KNSR2605_5,0,http://www.wikidata.org/entity/Q3884033
KNSR2605_5,1,http://www.wikidata.org/entity/Q73399719
KNSR2605_5,2,NIL
KNSR2605_5,3,NIL
KNSR2605_5,4,NIL
KNSR2605_5,5,NIL
KNSR2605_5,6,NIL
KNSR2605_5,7,NIL
KNSR2605_5,8,NIL
KNSR2605_5,9,NIL
KNSR2605_5,10,NIL
KNSR2605_5,11,NIL
KNSR2605_5,12,NIL
KNSR2605_5,13,NIL
KNSR2605_5,14,NIL
KNSR2605_6,0,http://www.wikidata.org/entity/Q3884033
KNSR2605_6,1,http://www.wikidata.org/entity/Q7273241
KNSR2605_6,2,NIL
KNSR2605_6,3,NIL
KNSR2605_6,4,NIL
KNSR2605_6,5,NIL
KNSR2605_6,6,NIL
KNSR2605_6,7,NIL
KNSR2605_6,8,NIL
KNSR2605_6,9,NIL
KNSR2605_6,10,NIL
KNSR2605_6,11,NIL
KNSR2605_6,12,NIL
KNSR2605_6,13,NIL
KNSR2605_6,14,NIL
KNSR2605_7,0,http://www.wikidata.org/entity/Q11173
KNSR2605_7,1,http://www.wikidata.org/entity/Q73399719
KNSR2605_7,2,NIL
KNSR2605_7,3,NIL
KNSR2605_7,4,NIL
KNSR2605_7,5,NIL
KNSR2605_7,6,NIL
KNSR2605_7,7,NIL
KNSR2605_7,8,NIL
KNSR2605_7,9,NIL
KNSR2605_7,10,NIL
KNSR2605_8,0,http://www.wikidata.org/entity/Q11173
KNSR2605_8,1,http://www.wikidata.org/entity/Q7273241
KNSR2605_8,2,NIL
KNSR2605_8,3,NIL
KNSR2605_8,4,NIL
KNSR2605_8,5,NIL
KNSR2605_8,6,NIL
KNSR2605_8,7,NIL
KNSR2605_8,8,NIL
KNSR2605_8,9,NIL
KNSR2605_8,10,NIL
KNSR2605_8,11,NIL
KNSR2605_8,12,NIL
KNSR2605_8,13,NIL
KNSR2605_9,0,http://www.wikidata.org/entity/Q11173
KNSR2605_9,1,http://www.wikidata.org/entity/Q7273241
KNSR2605_9,2,NIL
KNSR2605_9,3,NIL
KNSR2605_9,4,NIL
KNSR2605_9,5,NIL
KNSR2605_9,6,NIL
KNSR2605_9,7,NIL
KNSR2605_9,8,NIL
KNSR2605_9,9,NIL
KNSR2605_9,10,NIL
KNSR2605_9,11,NIL
KNSR2605_9,12,NIL
KNSR2605_9,13,NIL
KNSR2605_9,14,NIL
KNSR2607_1,0,http://www.wikidata.org/entity/Q82753
KNSR2607_1,1,http://www.wikidata.org/entity/Q577
KNSR2607_1,2,NIL
KNSR2607_1,3,NIL
KNSR2607_1,4,NIL
KNSR2607_2,0,http://www.wikidata.org/entity/Q13442814
KNSR2607_2,1,http://www.wikidata.org/entity/Q1191527
KNSR2607_2,2,http://www.wikidata.org/entity/Q3494375
KNSR2607_2,3,http://www.wikidata.org/entity/Q272035
KNSR2607_2,4,http://www.wikidata.org/entity/Q1695289
KNSR2607_3,0,http://www.wikidata.org/entity/Q13442814
KNSR2607_3,1,NIL
KNSR2607_3,2,http://www.wikidata.org/entity/Q11574
KNSR2607_3,3,NIL
KNSR2607_3,4,http://www.wikidata.org/entity/Q123
KNSR2607_3,5,http://www.wikidata.org/entity/Q482522
KNSR2607_3,6,http://www.wikidata.org/entity/Q14349442
KNSR2607_3,7,http://www.wikidata.org/entity/Q1827146
KNSR2607_4,0,http://www.wikidata.org/entity/Q13442814
KNSR2607_4,1,http://www.wikidata.org/entity/Q1191527
KNSR2607_4,2,http://www.wikidata.org/entity/Q3494375
KNSR2607_4,3,http://www.wikidata.org/entity/Q272035
KNSR2607_4,4,http://www.wikidata.org/entity/Q1695289
KNSR2607_4,5,NIL
KNSR2607_5,0,http://www.wikidata.org/entity/Q13442814
KNSR2607_5,1,NIL
KNSR2607_5,2,NIL
KNSR2607_5,3,NIL
KNSR2607_5,4,NIL
KNSR2607_5,5,http://www.wikidata.org/entity/Q482522
KNSR2607_5,6,http://www.wikidata.org/entity/Q14349442
KNSR2607_5,7,http://www.wikidata.org/entity/Q1827146
KNSR2607_5,8,NIL
KNSR2609_1,0,http://www.wikidata.org/entity/Q16521
KNSR2609_1,1,http://www.wikidata.org/entity/Q7187
KNSR2609_1,2,http://www.wikidata.org/entity/Q6256
KNSR2609_1,3,http://www.wikidata.org/entity/Q5398426
KNSR2609_1,4,NIL
KNSR2609_2,0,http://www.wikidata.org/entity/Q16521
KNSR2609_2,1,http://www.wikidata.org/entity/Q7187
KNSR2609_2,2,http://www.wikidata.org/entity/Q5398426
KNSR2609_2,3,http://www.wikidata.org/entity/Q907280
KNSR2609_2,4,http://www.wikidata.org/entity/Q1517187
KNSR2609_2,5,http://www.wikidata.org/entity/Q460453
KNSR2609_3,0,http://www.wikidata.org/entity/Q11173
KNSR2609_3,1,NIL
KNSR2609_3,2,http://www.wikidata.org/entity/Q1755148
KNSR2609_3,3,http://www.wikidata.org/entity/Q46831
KNSR2609_3,4,http://www.wikidata.org/entity/Q420039
KNSR2609_3,5,http://www.wikidata.org/entity/Q944588
KNSR2609_3,6,NIL
KNSR2609_3,7,http://www.wikidata.org/entity/Q207540
KNSR2609_3,8,http://www.wikidata.org/entity/Q11145907
KNSR2595_2,0,http://www.wikidata.org/entity/Q11173
KNSR2595_2,1,http://www.wikidata.org/entity/Q29654788
KNSR2595_2,2,NIL
KNSR2595_2,3,NIL
KNSR2595_2,4,NIL
KNSR2595_3,0,http://www.wikidata.org/entity/Q11173
KNSR2595_3,1,http://www.wikidata.org/entity/Q27598544
KNSR2595_3,2,http://www.wikidata.org/entity/Q64219730
KNSR2595_3,3,http://www.wikidata.org/entity/Q107285015
KNSR2595_3,4,NIL
KNSR2595_3,5,http://www.wikidata.org/entity/Q13442814
KNSR2595_3,6,http://www.wikidata.org/entity/Q96912402
KNSR2597_1,0,http://www.wikidata.org/entity/Q11173
KNSR2597_1,1,NIL
KNSR2597_1,2,NIL
KNSR2597_1,3,http://www.wikidata.org/entity/Q1
KNSR2597_1,4,NIL
KNSR2597_2,0,http://www.wikidata.org/entity/Q11173
KNSR2597_2,1,http://www.wikidata.org/entity/Q13442814
KNSR2597_2,2,http://www.wikidata.org/entity/Q51788
KNSR2597_2,3,NIL
KNSR2597_2,4,NIL
KNSR2597_2,5,NIL
KNSR2597_3,0,http://www.wikidata.org/entity/Q11173
KNSR2597_3,1,NIL
KNSR2597_3,2,NIL
KNSR2597_3,3,NIL
KNSR2598_1,0,http://www.wikidata.org/entity/Q113145171
KNSR2598_1,1,http://www.wikidata.org/entity/Q18088516
KNSR2598_1,2,NIL
KNSR2598_1,3,NIL
KNSR2598_1,4,NIL
KNSR2598_1,5,NIL
KNSR2598_1,6,NIL
KNSR2598_2,0,http://www.wikidata.org/entity/Q18088516
KNSR2598_2,1,http://www.wikidata.org/entity/Q113145171
KNSR2598_2,2,NIL
KNSR2598_2,3,NIL
KNSR2598_2,4,NIL
KNSR2598_2,5,NIL
KNSR2598_2,6,NIL
KNSR2598_3,0,http://www.wikidata.org/entity/Q424525
KNSR2598_3,1,http://www.wikidata.org/entity/Q18088516
KNSR2598_3,2,NIL
KNSR2598_3,3,NIL
KNSR2598_3,4,NIL
KNSR2598_3,5,NIL
KNSR2598_3,6,NIL
KNSR2599_1,0,http://www.wikidata.org/entity/Q337060
KNSR2599_1,1,NIL
KNSR2599_1,2,NIL
KNSR2599_1,3,NIL
KNSR2599_1,4,NIL
KNSR2599_2,0,http://www.wikidata.org/entity/Q1260524
KNSR2599_2,1,http://www.wikidata.org/entity/Q186319
KNSR2599_2,2,http://www.wikidata.org/entity/Q32238
KNSR2599_2,3,http://www.wikidata.org/entity/Q2308637
KNSR2599_2,4,http://www.wikidata.org/entity/Q36
KNSR2599_2,5,http://www.wikidata.org/entity/Q1936153
KNSR2601_3,0,http://www.wikidata.org/entity/Q482994
KNSR2601_3,1,http://www.wikidata.org/entity/Q13442814
KNSR2601_3,2,NIL
KNSR2601_3,3,NIL
KNSR2601_3,4,NIL
KNSR2602_1,0,http://www.wikidata.org/entity/Q13442814
KNSR2602_1,1,http://www.wikidata.org/entity/Q3305213
KNSR2602_1,2,http://www.wikidata.org/entity/Q3331189
KNSR2602_1,3,http://www.wikidata.org/entity/Q2095
KNSR2602_1,4,http://www.wikidata.org/entity/Q11424
KNSR2602_1,5,http://www.wikidata.org/entity/Q3305213
KNSR2602_4,0,http://www.wikidata.org/entity/Q13442814
KNSR2602_4,1,http://www.wikidata.org/entity/Q734219
KNSR2602_4,2,NIL
KNSR2602_4,3,NIL
KNSR2602_4,4,NIL
KNSR2602_4,5,NIL
KNSR2602_4,6,NIL
KNSR2603_1,0,http://www.wikidata.org/entity/Q11344
KNSR2603_1,1,http://www.wikidata.org/entity/Q15127012
KNSR2603_1,2,http://www.wikidata.org/entity/Q2796622
KNSR2603_1,3,NIL
KNSR2603_2,0,http://www.wikidata.org/entity/Q101352
KNSR2603_2,1,http://www.wikidata.org/entity/Q8054
KNSR2603_2,2,http://www.wikidata.org/entity/Q417841
KNSR2605_1,0,http://www.wikidata.org/entity/Q11173
KNSR2605_1,1,http://www.wikidata.org/entity/Q73399719
KNSR2605_1,2,NIL
KNSR2605_1,3,NIL
KNSR2605_1,4,NIL
KNSR2605_1,5,NIL
KNSR2605_1,6,NIL
KNSR2605_1,7,NIL
KNSR2605_1,8,NIL
KNSR2605_1,9,NIL
KNSR2605_1,10,NIL
KNSR2605_1,11,NIL
KNSR2605_1,12,NIL
KNSR2605_1,13,NIL
KNSR2605_10,0,http://www.wikidata.org/entity/Q47154513
KNSR2605_10,1,http://www.wikidata.org/entity/Q11173
KNSR2605_10,2,NIL
KNSR2605_10,3,NIL
KNSR2605_10,4,NIL
KNSR2605_10,5,NIL
KNSR2605_10,6,NIL
KNSR2605_10,7,NIL
KNSR2605_10,8,NIL
KNSR2605_10,9,NIL
KNSR2605_10,10,NIL
KNSR2566_2,0,NIL
KNSR2566_2,1,NIL
KNSR2566_2,2,NIL
KNSR2566_2,3,NIL
KNSR2566_2,4,http://www.wikidata.org/entity/Q14914514
KNSR2566_2,5,NIL
KNSR2566_3,0,NIL
KNSR2566_3,1,NIL
KNSR2566_3,2,NIL
KNSR2566_3,3,NIL
KNSR2566_3,4,http://www.wikidata.org/entity/Q14914514
KNSR2566_3,5,NIL
KNSR2566_4,0,http://www.wikidata.org/entity/Q13442814
KNSR2566_4,1,NIL
KNSR2566_4,2,http://www.wikidata.org/entity/Q101352
KNSR2566_4,3,http://www.wikidata.org/entity/Q13442814
KNSR2566_4,4,NIL
KNSR2567_1,0,http://www.wikidata.org/entity/Q11344
KNSR2567_1,1,NIL
KNSR2567_1,2,NIL
KNSR2567_1,3,NIL
KNSR2567_1,4,http://www.wikidata.org/entity/Q11344
KNSR2567_1,5,NIL
KNSR2567_1,6,NIL
KNSR2567_1,7,NIL
KNSR2567_2,0,http://www.wikidata.org/entity/Q11344
KNSR2567_2,1,http://www.wikidata.org/entity/Q13442814
KNSR2567_2,2,http://www.wikidata.org/entity/Q7777019
KNSR2567_2,3,http://www.wikidata.org/entity/Q34442
KNSR2567_2,4,http://www.wikidata.org/entity/Q22698
KNSR2567_2,5,http://www.wikidata.org/entity/Q4886
KNSR2567_2,6,NIL
KNSR2567_3,0,http://www.wikidata.org/entity/Q11344
KNSR2567_3,1,NIL
KNSR2567_3,2,http://www.wikidata.org/entity/Q41357023
KNSR2567_3,3,NIL
KNSR2567_4,0,http://www.wikidata.org/entity/Q16521
KNSR2567_4,1,http://www.wikidata.org/entity/Q13442814
KNSR2567_4,2,NIL
KNSR2567_4,3,http://www.wikidata.org/entity/Q7278
KNSR2567_4,4,NIL
KNSR2567_4,5,NIL
KNSR2568_1,0,http://www.wikidata.org/entity/Q16521
KNSR2568_1,1,http://www.wikidata.org/entity/Q122043
KNSR2568_1,2,http://www.wikidata.org/entity/Q37525
KNSR2568_1,3,http://www.wikidata.org/entity/Q4027534
KNSR2568_1,4,http://www.wikidata.org/entity/Q190143
KNSR2568_1,5,http://www.wikidata.org/entity/Q159683
KNSR2568_2,0,http://www.wikidata.org/entity/Q13442814
KNSR2568_2,1,http://www.wikidata.org/entity/Q659
KNSR2568_2,2,http://www.wikidata.org/entity/Q5633421
KNSR2568_2,3,NIL
KNSR2568_2,4,NIL
KNSR2568_2,5,NIL
KNSR2568_2,6,NIL
KNSR2568_2,7,NIL
KNSR2568_2,8,NIL
KNSR2568_2,9,NIL
KNSR2568_3,0,http://www.wikidata.org/entity/Q11173
KNSR2568_3,1,http://www.wikidata.org/entity/Q124714
KNSR2568_3,2,http://www.wikidata.org/entity/Q1313
KNSR2568_3,3,http://www.wikidata.org/entity/Q1314
KNSR2568_4,0,http://www.wikidata.org/entity/Q11173
KNSR2568_4,1,NIL
KNSR2568_4,2,NIL
KNSR2568_4,3,NIL
KNSR2568_5,0,http://www.wikidata.org/entity/Q11173
KNSR2568_5,1,http://www.wikidata.org/entity/Q13442814
KNSR2568_5,2,NIL
KNSR2568_5,3,NIL
KNSR2569_1,0,http://www.wikidata.org/entity/Q11173
KNSR2569_1,1,http://www.wikidata.org/entity/Q4167410
KNSR2569_1,2,NIL
KNSR2569_1,3,NIL
KNSR2569_1,4,http://www.wikidata.org/entity/Q80071
KNSR2569_2,0,http://www.wikidata.org/entity/Q13442814
KNSR2569_2,1,http://www.wikidata.org/entity/Q11173
KNSR2569_2,2,http://www.wikidata.org/entity/Q4167410
KNSR2569_2,3,http://www.wikidata.org/entity/Q73177736
KNSR2569_2,4,NIL
KNSR2569_2,5,http://www.wikidata.org/entity/Q874659
KNSR2569_2,6,NIL
KNSR2569_2,7,http://www.wikidata.org/entity/Q7187
KNSR2570_2,0,NIL
KNSR2570_2,1,http://www.wikidata.org/entity/Q3624078
KNSR2570_2,2,NIL
KNSR2570_2,3,http://www.wikidata.org/entity/Q7187
KNSR2570_2,4,http://www.wikidata.org/entity/Q7187
KNSR2570_2,5,NIL
KNSR2570_2,6,NIL
KNSR2570_2,7,NIL
KNSR2570_2,8,NIL
KNSR2570_2,9,NIL
KNSR2570_4,0,http://www.wikidata.org/entity/Q113145171
KNSR2570_4,1,NIL
KNSR2570_4,2,NIL
KNSR2570_4,3,NIL
KNSR2570_5,0,http://www.wikidata.org/entity/Q55983715
KNSR2570_5,1,http://www.wikidata.org/entity/Q2310577
KNSR2570_5,2,NIL
KNSR2570_5,3,NIL
KNSR2570_5,4,NIL
KNSR2570_8,0,http://www.wikidata.org/entity/Q13442814
KNSR2570_8,1,http://www.wikidata.org/entity/Q13442814
KNSR2570_8,2,http://www.wikidata.org/entity/Q13442814
KNSR2570_8,3,http://www.wikidata.org/entity/Q18028614
KNSR2570_8,4,NIL
KNSR2570_8,5,NIL
KNSR2570_8,6,NIL
KNSR2570_8,7,http://www.wikidata.org/entity/Q30612
KNSR2572_1,0,NIL
KNSR2572_1,1,http://www.wikidata.org/entity/Q7187
KNSR2572_1,2,NIL
KNSR2572_1,3,NIL
KNSR2572_1,4,NIL
KNSR2572_2,0,http://www.wikidata.org/entity/Q486972
KNSR2572_2,1,http://www.wikidata.org/entity/Q7187
KNSR2572_2,2,NIL
KNSR2572_2,3,NIL
KNSR2572_2,4,NIL
KNSR2572_2,5,NIL
KNSR2572_3,0,http://www.wikidata.org/entity/Q101352
KNSR2572_3,1,NIL
KNSR2572_3,2,NIL
KNSR2572_3,3,NIL
KNSR2572_3,4,NIL
KNSR2572_3,5,NIL
KNSR2572_3,6,NIL
KNSR2572_3,7,NIL
KNSR2572_3,8,NIL
KNSR2536_5,0,http://www.wikidata.org/entity/Q11344
KNSR2536_5,1,NIL
KNSR2536_5,2,NIL
KNSR2536_5,3,NIL
KNSR2545_1,0,http://www.wikidata.org/entity/Q1924249
KNSR2545_1,1,http://www.wikidata.org/entity/Q13442814
KNSR2545_1,2,NIL
KNSR2545_1,3,NIL
KNSR2545_1,4,NIL
KNSR2545_1,5,NIL
KNSR2545_1,6,NIL
KNSR2545_1,7,NIL
KNSR2545_1,8,NIL
KNSR2545_1,9,NIL
KNSR2553_3,0,http://www.wikidata.org/entity/Q13442814
KNSR2553_3,1,http://www.wikidata.org/entity/Q126399
KNSR2553_3,2,http://www.wikidata.org/entity/Q4563684
KNSR2553_3,3,http://www.wikidata.org/entity/Q2001474
KNSR2553_3,4,http://www.wikidata.org/entity/Q4337578
KNSR2553_3,5,http://www.wikidata.org/entity/Q4628
KNSR2553_3,6,http://www.wikidata.org/entity/Q253568
KNSR2553_3,7,http://www.wikidata.org/entity/Q410387
KNSR2566_1,0,http://www.wikidata.org/entity/Q223557
KNSR2566_1,1,http://www.wikidata.org/entity/Q3305213
KNSR2566_1,2,NIL
KNSR2566_1,3,NIL
KNSR2566_1,4,NIL
KNSR2566_1,5,http://www.wikidata.org/entity/Q14914514
KNSR2566_1,6,NIL
KNSR2572_4,0,http://www.wikidata.org/entity/Q2424752
KNSR2572_4,1,http://www.wikidata.org/entity/Q7187
KNSR2572_4,2,NIL
KNSR2572_4,3,NIL
KNSR2582_2,0,http://www.wikidata.org/entity/Q6646972
KNSR2582_2,1,http://www.wikidata.org/entity/Q10843872
KNSR2582_2,2,NIL
KNSR2582_2,3,http://www.wikidata.org/entity/Q11173
KNSR2582_2,4,http://www.wikidata.org/entity/Q11173
KNSR2582_2,5,http://www.wikidata.org/entity/Q11173
KNSR2582_2,6,http://www.wikidata.org/entity/Q11173
KNSR2582_2,7,http://www.wikidata.org/entity/Q11173
KNSR2582_2,8,NIL
KNSR2582_2,9,http://www.wikidata.org/entity/Q11173
KNSR2589_2,0,http://www.wikidata.org/entity/Q485146
KNSR2589_2,1,http://www.wikidata.org/entity/Q49546
KNSR2589_2,2,http://www.wikidata.org/entity/Q375112
KNSR2589_2,3,http://www.wikidata.org/entity/Q416065
KNSR2589_2,4,http://www.wikidata.org/entity/Q10880017
KNSR2595_1,0,http://www.wikidata.org/entity/Q11173
KNSR2595_1,1,http://www.wikidata.org/entity/Q483247
KNSR2595_1,2,http://www.wikidata.org/entity/Q23173209
KNSR2595_1,3,NIL
KNSR2595_1,4,http://www.wikidata.org/entity/Q129324
KNSR2605_11,0,http://www.wikidata.org/entity/Q11173
KNSR2605_11,1,http://www.wikidata.org/entity/Q73399719
KNSR2605_11,2,NIL
KNSR2605_11,3,NIL
KNSR2605_11,4,NIL
KNSR2605_11,5,NIL
KNSR2605_11,6,NIL
KNSR2605_11,7,NIL
KNSR2605_11,8,NIL
KNSR2605_11,9,NIL
KNSR2605_11,10,NIL
KNSR2605_11,11,NIL
KNSR2582_3,0,http://www.wikidata.org/entity/Q11173
KNSR2582_3,1,http://www.wikidata.org/entity/Q15401930
KNSR2582_3,2,http://www.wikidata.org/entity/Q11173
